Site ,Treatment ,Quadrat/Chamber #,Replicate #,PLOT,NDRE,NDVI,RE,NIR,R,LATITUDE,LONGITUDE,ELEVATION,HDOP,FIXTYPE,DATE,TIME,N,MAXNDRE,MAXNDVI,MINNDRE,MINNDVI,STDNDRE,STDNDVI,CVNDRE,CVNDVI,,,,,,,,,,,,,
ST,CT,Q2,3,11,0.2257,0.6258,20.733,32.826,7.554,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:19:03,63,0.248,0.6538,0.2013,0.599,0.0092,0.0132,0.0409,0.021,,,,,,,,,,,,,
ST,CT,Q2,4,12,0.2394,0.6728,20.542,33.476,6.546,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:19:20,60,0.2608,0.6919,0.214,0.6535,0.0094,0.0083,0.0393,0.0123,,,,,,,,,,,,,
ST,CT,Q2,5,13,0.227,0.6787,20.723,32.908,6.289,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:19:37,55,0.2488,0.6938,0.0577,0.4861,0.0242,0.0269,0.1066,0.0396,,,,,,,,,,,,,
ST,CT,Q2,6,14,0.2268,0.645,20.718,32.877,7.094,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:19:53,56,0.2476,0.6582,0.2049,0.6303,0.0091,0.0062,0.0402,0.0096,,,,,,,,,,,,,
ST,CT,Q2,7,15,0.2188,0.6093,20.831,32.508,7.891,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:20:08,48,0.2455,0.6224,0.1979,0.5856,0.0101,0.0072,0.0461,0.0118,,,,,,,,,,,,,
ST,CT,Q2,8,16,0.2319,0.704,20.649,33.132,5.751,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:24:01,64,0.2507,0.7277,0.1048,0.5694,0.0179,0.0188,0.0772,0.0267,,,,,,,,,,,,,
ST,CT,Q3,1,17,0.2019,0.6219,21.077,31.741,7.398,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:24:21,43,0.2149,0.6334,0.1765,0.6064,0.0077,0.0061,0.038,0.0099,,,,,,,,,,,,,
ST,CT,Q3,2,18,0.1973,0.5355,21.144,31.545,9.542,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:24:43,71,0.2224,0.5519,0.1732,0.5167,0.0105,0.0074,0.053,0.0137,,,,,,,,,,,,,
ST,CT,Q3,3,19,0.2101,0.5646,20.957,32.114,8.934,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:25:02,60,0.2478,0.5808,0.1865,0.5507,0.0118,0.0072,0.0562,0.0127,,,,,,,,,,,,,
ST,CT,Q3,4,20,0.2208,0.5995,20.804,32.595,8.164,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:25:22,86,0.2461,0.6314,0.1946,0.5583,0.0099,0.0184,0.0449,0.0306,,,,,,,,,,,,,
ST,CT,Q3,5,21,0.2216,0.6385,20.792,32.633,7.2,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:25:40,66,0.239,0.6496,0.2005,0.6216,0.0089,0.0057,0.0401,0.0089,,,,,,,,,,,,,
ST,CT,Q3,6,22,0.2057,0.6354,21.021,31.915,7.116,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:26:03,59,0.2294,0.6632,0.1807,0.5943,0.0106,0.0162,0.0515,0.0256,,,,,,,,,,,,,
ST,CT,Q3,7,23,0.1687,0.4719,21.58,30.341,10.885,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:26:22,77,0.2029,0.5062,0.1408,0.4374,0.0121,0.0145,0.0718,0.0307,,,,,,,,,,,,,
ST,CT,Q3,8,24,0.19,0.5217,21.254,31.227,9.814,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:27:12,67,0.2173,0.552,0.1703,0.5005,0.01,0.0108,0.0525,0.0206,,,,,,,,,,,,,
ST,CT,Q4,1,25,0.193,0.5178,21.209,31.354,9.96,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:27:29,63,0.2138,0.5408,0.1699,0.4922,0.0093,0.0101,0.0482,0.0196,,,,,,,,,,,,,
ST,CT,Q4,2,26,0.1807,0.5504,21.395,30.837,8.939,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:27:48,65,0.2194,0.5733,0.1559,0.5249,0.0125,0.0092,0.0693,0.0168,,,,,,,,,,,,,
ST,CT,Q4,3,27,0.1982,0.6044,21.132,31.58,7.787,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:28:06,65,0.219,0.6245,0.1765,0.5887,0.0092,0.0082,0.0463,0.0135,,,,,,,,,,,,,
ST,CT,Q4,4,28,0.2086,0.6366,20.978,32.042,7.119,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:28:26,73,0.2296,0.6647,0.1844,0.5946,0.0089,0.018,0.0427,0.0283,,,,,,,,,,,,,
ST,CT,Q4,5,29,0.2195,0.6083,20.822,32.536,7.925,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:28:46,72,0.2439,0.6254,0.1986,0.591,0.0089,0.0073,0.0405,0.012,,,,,,,,,,,,,
ST,CT,Q4,6,30,0.2253,0.6146,20.739,32.803,7.83,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:29:01,62,0.2432,0.6451,0.2099,0.5971,0.007,0.0094,0.0313,0.0153,,,,,,,,,,,,,
ST,CT,Q4,7,31,0.2306,0.6748,20.675,33.093,6.418,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:29:19,75,0.2541,0.6905,-0.0062,0.5219,0.029,0.0199,0.1259,0.0295,,,,,,,,,,,,,
ST,CT,Q4,8,32,0.2359,0.6923,20.59,33.308,6.056,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:31:51,63,0.2535,0.7108,0.2143,0.6749,0.0087,0.0075,0.0369,0.0109,,,,,,,,,,,,,
ST,CT,Q5,1,33,0.1894,0.5328,21.262,31.201,9.511,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:32:19,48,0.2102,0.548,0.1785,0.5053,0.007,0.0084,0.0372,0.0157,,,,,,,,,,,,,
ST,CT,Q5,2,34,0.2012,0.5898,21.087,31.711,8.183,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:32:44,67,0.22,0.6048,0.184,0.5705,0.0074,0.0078,0.0366,0.0132,,,,,,,,,,,,,
ST,CT,Q5,3,35,0.2208,0.6728,20.804,32.595,6.374,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:33:08,67,0.24,0.6872,0.1954,0.651,0.0101,0.008,0.0458,0.0118,,,,,,,,,,,,,
ST,CT,Q5,4,36,0.2407,0.7157,20.524,33.538,5.558,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:33:26,63,0.2573,0.7269,0.2234,0.7024,0.0068,0.0053,0.0282,0.0074,,,,,,,,,,,,,
ST,CT,Q5,5,37,0.2367,0.6716,20.579,33.348,6.55,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:33:43,60,0.2564,0.7124,0.2174,0.6449,0.0094,0.0139,0.0398,0.0206,,,,,,,,,,,,,
ST,CT,Q5,6,38,0.2222,0.6402,20.783,32.662,7.165,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:33:59,61,0.2444,0.6706,0.2033,0.6163,0.0089,0.0142,0.04,0.0222,,,,,,,,,,,,,
ST,CT,Q5,7,39,0.2181,0.5921,20.842,32.472,8.32,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:34:18,70,0.2421,0.6091,0.1962,0.5742,0.0091,0.0081,0.0417,0.0137,,,,,,,,,,,,,
ST,CT,Q5,8,40,0.2396,0.5981,20.539,33.488,8.421,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:35:04,76,0.2657,0.6204,0.2213,0.574,0.0093,0.0108,0.0389,0.018,,,,,,,,,,,,,
ST,CT,Q6,1,41,0.2143,0.6576,20.895,32.297,6.675,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:35:21,55,0.2312,0.6781,0.2011,0.6006,0.006,0.0165,0.028,0.0251,,,,,,,,,,,,,
ST,CT,Q6,2,42,0.1968,0.556,21.153,31.523,8.993,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:35:37,84,0.2218,0.573,0.164,0.5373,0.0113,0.0082,0.0573,0.0148,,,,,,,,,,,,,
ST,CT,Q6,3,43,0.1883,0.5375,21.28,31.154,9.371,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:35:52,56,0.2081,0.5581,0.16,0.5214,0.0105,0.0082,0.0555,0.0153,,,,,,,,,,,,,
ST,CT,Q6,4,44,0.1856,0.5555,21.32,31.041,8.871,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:36:07,61,0.2047,0.5803,0.1633,0.5333,0.0102,0.0124,0.0548,0.0223,,,,,,,,,,,,,
ST,CT,Q6,5,45,0.2233,0.6441,20.768,32.712,7.081,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:36:24,66,0.2472,0.6597,0.1961,0.6263,0.0092,0.0057,0.0413,0.0089,,,,,,,,,,,,,
ST,CT,Q6,6,46,0.2386,0.6708,20.553,33.435,6.587,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:36:38,65,0.258,0.6893,0.2216,0.6591,0.0079,0.0065,0.033,0.0097,,,,,,,,,,,,,
ST,CT,Q6,7,47,0.2314,0.6623,20.653,33.094,6.723,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:36:56,63,0.2543,0.6825,0.2129,0.6417,0.0091,0.0089,0.0391,0.0135,,,,,,,,,,,,,
ST,CT,Q6,8,48,0.2403,0.6739,20.529,33.521,6.531,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:40:05,63,0.2563,0.6816,0.2211,0.6645,0.0076,0.0043,0.0318,0.0064,,,,,,,,,,,,,
ST,CT,Q7,1,49,0.2194,0.6021,20.823,32.532,8.079,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:40:35,47,0.2446,0.617,0.1985,0.5884,0.009,0.0059,0.0411,0.0097,,,,,,,,,,,,,
ST,CT,Q7,2,50,0.2304,0.6485,20.667,33.044,7.044,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:40:53,60,0.2503,0.664,0.215,0.6357,0.008,0.0054,0.0349,0.0083,,,,,,,,,,,,,
ST,CT,Q7,3,51,0.2393,0.6978,20.543,33.474,5.958,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:41:10,82,0.2572,0.7099,0.2189,0.6834,0.0084,0.0056,0.0349,0.008,,,,,,,,,,,,,
ST,CT,Q7,4,52,0.2462,0.7328,20.448,33.81,5.214,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:41:27,76,0.2677,0.7489,0.2244,0.7164,0.009,0.0061,0.0364,0.0083,,,,,,,,,,,,,
ST,CT,Q7,5,53,0.2517,0.7684,20.373,34.081,4.464,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:41:42,66,0.2743,0.7762,0.2327,0.7617,0.0068,0.0033,0.0272,0.0043,,,,,,,,,,,,,
ST,CT,Q7,6,54,0.2503,0.7678,20.392,34.011,4.467,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:41:58,60,0.2632,0.7897,0.231,0.7436,0.007,0.0152,0.0281,0.0198,,,,,,,,,,,,,
ST,CT,Q7,7,55,0.233,0.7025,20.632,33.168,5.796,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:42:14,49,0.2569,0.7355,0.212,0.6734,0.0096,0.0162,0.0412,0.0231,,,,,,,,,,,,,
ST,CT,Q7,8,56,0.235,0.7046,20.603,33.261,5.765,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:42:59,65,0.2541,0.7228,0.2236,0.6903,0.0068,0.0077,0.0288,0.0109,,,,,,,,,,,,,
ST,CT,Q8,1,57,0.1818,0.488,21.378,30.878,10.637,68.611435,-149.5551783,769.4,3.8, GPS         ,17/07/2021,11:43:15,44,0.1992,0.5515,0.1677,0.4272,0.0086,0.0335,0.0475,0.0686,,,,,,,,,,,,,
ST,CT,Q8,2,58,0.2438,0.7202,20.481,33.687,5.478,68.6113416,-149.5549333,763.1,3.8, GPS         ,17/07/2021,11:43:32,92,0.2564,0.7276,0.228,0.7138,0.0059,0.0032,0.0244,0.0044,,,,,,,,,,,,,
ST,CT,Q8,3,59,0.2409,0.7329,20.533,33.589,5.165,68.6111216,-149.5544366,751.4,3.9, GPS         ,17/07/2021,11:43:47,71,0.2565,0.7445,-0.0052,0.4519,0.03,0.0338,0.1243,0.0461,,,,,,,,,,,,,
ST,CT,Q8,4,60,0.2443,0.7441,20.474,33.712,4.946,68.6112083,-149.5546466,756.5,3.9, GPS         ,17/07/2021,11:44:02,63,0.2612,0.7522,0.2309,0.7367,0.0064,0.0032,0.026,0.0043,,,,,,,,,,,,,
ST,CT,Q8,5,61,0.2331,0.7212,20.629,33.172,5.372,68.6112,-149.554615,761.3,3.9, GPS         ,17/07/2021,11:44:17,59,0.2455,0.7333,0.2193,0.7043,0.0063,0.0057,0.0269,0.008,,,,,,,,,,,,,
ST,CT,Q8,6,62,0.2297,0.6903,20.676,33.011,6.048,68.6112783,-149.5548316,766.5,4, GPS         ,17/07/2021,11:44:35,67,0.2455,0.7014,0.2195,0.677,0.0057,0.0044,0.0246,0.0064,,,,,,,,,,,,,
ST,CT,Q8,7,63,0.236,0.7045,20.589,33.309,5.775,68.61133,-149.5549433,768.7,4, GPS         ,17/07/2021,11:44:50,66,0.2525,0.7148,0.2218,0.695,0.0058,0.0041,0.0247,0.0058,,,,,,,,,,,,,
ST,CT,Q8,8,64,0.2529,0.7574,20.357,34.14,4.714,68.6112766,-149.5547916,771.1,4, GPS         ,17/07/2021,11:52:06,61,0.2672,0.7836,0.2362,0.7389,0.0057,0.0123,0.0225,0.0163,,,,,,,,,,,,,
ST,CT,CH1,1,65,0.1974,0.5736,21.143,31.547,8.548,68.6108366,-149.554295,632.5,3, GPS         ,17/07/2021,11:52:44,48,0.2193,0.5862,0.1774,0.5594,0.0087,0.0067,0.0439,0.0117,,,,,,,,,,,,,
ST,CT,CH1,2,66,0.2011,0.5903,21.088,31.707,8.169,68.61081,-149.5542166,626.1,3, GPS         ,17/07/2021,11:53:18,72,0.2161,0.5998,0.1838,0.5742,0.008,0.0055,0.0398,0.0092,,,,,,,,,,,,,
ST,CT,CH1,3,67,0.2076,0.5981,20.993,31.995,8.046,68.610775,-149.5542233,617.6,2.9, GPS         ,17/07/2021,11:53:45,82,0.2244,0.6189,0.186,0.5743,0.0082,0.0079,0.0396,0.0132,,,,,,,,,,,,,
ST,CT,CH1,4,68,0.1941,0.5635,21.227,31.482,8.783,68.610745,-149.5541816,610.6,2.9, GPS         ,17/07/2021,11:54:08,63,0.2255,0.5822,-0.1544,0.5218,0.0455,0.0092,0.2345,0.0163,,,,,,,,,,,,,
ST,CT,CH1,5,69,0.2,0.5812,21.106,31.666,8.386,68.6107333,-149.5542083,604.7,2.9, GPS         ,17/07/2021,11:54:33,92,0.2332,0.6093,0.1738,0.5519,0.0136,0.0101,0.0679,0.0174,,,,,,,,,,,,,
ST,CT,CH1,6,70,0.1971,0.6056,21.171,31.591,7.744,68.610715,-149.5542,597.5,2.9, GPS         ,17/07/2021,11:54:55,80,0.2358,0.6366,-0.1266,0.3368,0.0385,0.0344,0.1955,0.0569,,,,,,,,,,,,,
ST,CT,CH1,7,71,0.2038,0.6459,21.107,31.928,6.85,68.6107533,-149.554295,589.4,2.9, GPS         ,17/07/2021,11:55:21,91,0.2361,0.6668,-0.2957,0.436,0.0539,0.0243,0.2643,0.0376,,,,,,,,,,,,,
ST,CT,CH1,8,72,0.2111,0.6495,20.943,32.155,6.832,68.6106933,-149.554195,580.5,2.9, GPS         ,17/07/2021,11:58:46,89,0.2398,0.6734,0.177,0.6171,0.0103,0.0105,0.0486,0.0161,,,,,,,,,,,,,
ST,CT,CH2,1,73,0.2121,0.5555,20.928,32.2,9.201,68.6103033,-149.55379,469.7,2.8, GPS         ,17/07/2021,11:59:11,64,0.2334,0.5689,0.1862,0.5403,0.0097,0.0066,0.0457,0.0119,,,,,,,,,,,,,
ST,CT,CH2,2,74,0.2058,0.5545,21.02,31.919,9.146,68.6103583,-149.5539783,455,2.8, GPS         ,17/07/2021,11:59:36,66,0.2333,0.5858,0.1813,0.5208,0.0115,0.0148,0.0558,0.0267,,,,,,,,,,,,,
ST,CT,CH2,3,75,0.207,0.5546,21.002,31.972,9.159,68.6103033,-149.5539533,440.7,2.8, GPS         ,17/07/2021,12:00:06,64,0.2305,0.5763,0.182,0.5337,0.011,0.009,0.0534,0.0162,,,,,,,,,,,,,
ST,CT,CH2,4,76,0.2054,0.5264,21.026,31.9,9.896,68.6102316,-149.5539283,424.7,2.8, GPS         ,17/07/2021,12:00:28,81,0.2275,0.5485,0.1753,0.5016,0.0106,0.0083,0.0515,0.0157,,,,,,,,,,,,,
ST,CT,CH2,5,77,0.2119,0.5456,20.933,32.193,9.463,68.610215,-149.5539866,413.1,2.8, GPS         ,17/07/2021,12:00:48,78,0.2516,0.5687,0.1808,0.5204,0.0132,0.0097,0.0623,0.0178,,,,,,,,,,,,,
ST,CT,CH2,6,78,0.2194,0.5616,20.824,32.536,9.133,68.6102233,-149.5540616,402.6,2.8, GPS         ,17/07/2021,12:01:08,66,0.2475,0.5777,0.1871,0.5386,0.013,0.0089,0.0591,0.0158,,,,,,,,,,,,,
ST,CT,CH2,7,79,0.2246,0.5757,20.749,32.774,8.825,68.610275,-149.5541966,392.4,2.7, GPS         ,17/07/2021,12:01:32,71,0.2446,0.5944,0.2022,0.5591,0.0087,0.0062,0.0389,0.0107,,,,,,,,,,,,,
ST,CT,CH2,8,80,0.2192,0.5692,20.827,32.527,8.928,68.6102333,-149.554145,382.8,2.7, GPS         ,17/07/2021,12:04:02,50,0.258,0.5903,0.1912,0.5468,0.0132,0.0101,0.0602,0.0178,,,,,,,,,,,,,
ST,CT,CH3,1,81,0.1888,0.5156,21.271,31.176,9.962,68.6101433,-149.554335,331,2.7, GPS         ,17/07/2021,12:04:24,74,0.2085,0.5293,0.1638,0.5009,0.0087,0.0066,0.0463,0.0128,,,,,,,,,,,,,
ST,CT,CH3,2,82,0.1886,0.4898,21.274,31.169,10.674,68.6101416,-149.5542866,334.2,2.7, GPS         ,17/07/2021,12:04:46,54,0.2057,0.5096,0.1678,0.4689,0.0095,0.0103,0.0502,0.0211,,,,,,,,,,,,,
ST,CT,CH3,3,83,0.1809,0.4682,21.391,30.841,11.17,68.6101566,-149.5543783,340.7,2.7, GPS         ,17/07/2021,12:05:09,71,0.2006,0.4908,0.1577,0.4454,0.0089,0.0097,0.049,0.0207,,,,,,,,,,,,,
ST,CT,CH3,4,84,0.1888,0.4892,21.271,31.18,10.694,68.6102116,-149.5545616,350.7,2.6, GPS         ,17/07/2021,12:05:29,82,0.2215,0.5222,0.1603,0.4633,0.0112,0.0117,0.0591,0.024,,,,,,,,,,,,,
ST,CT,CH3,5,85,0.1914,0.5298,21.233,31.291,9.616,68.6101883,-149.55449,363.2,2.6, GPS         ,17/07/2021,12:05:50,73,0.2152,0.5452,0.163,0.5058,0.0117,0.0078,0.0613,0.0148,,,,,,,,,,,,,
ST,CT,CH3,6,86,0.1911,0.5296,21.242,31.294,9.619,68.6102116,-149.5543766,377,2.6, GPS         ,17/07/2021,12:06:11,72,0.2253,0.5567,0.0352,0.4631,0.0219,0.0138,0.1145,0.026,,,,,,,,,,,,,
ST,CT,CH3,7,87,0.1994,0.551,21.114,31.638,9.157,68.61026,-149.5545416,389.9,2.6, GPS         ,17/07/2021,12:06:31,61,0.2282,0.5686,0.1692,0.5205,0.0121,0.0105,0.0608,0.019,,,,,,,,,,,,,
ST,PR,Q1,1,1,0.2177,0.5595,20.848,32.459,9.167,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,13:08:36,58,0.2453,0.5756,0.1878,0.5393,0.012,0.009,0.0552,0.0162,,,,,,,,,,,,,
ST,PR,Q1,2,2,0.216,0.5602,20.873,32.379,9.125,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,13:08:51,62,0.2434,0.5775,0.1886,0.5371,0.0124,0.0093,0.0576,0.0166,,,,,,,,,,,,,
ST,PR,Q1,3,3,0.2156,0.5509,20.878,32.356,9.37,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,13:09:13,45,0.2422,0.5662,0.1986,0.5344,0.0094,0.0072,0.0437,0.013,,,,,,,,,,,,,
ST,PR,Q1,4,4,0.2274,0.5861,20.71,32.904,8.588,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,13:09:30,71,0.2542,0.6316,0.2003,0.5544,0.0093,0.0166,0.041,0.0283,,,,,,,,,,,,,
ST,PR,Q1,5,5,0.2483,0.6491,20.42,33.912,7.216,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,13:09:49,77,0.2656,0.6605,0.2247,0.6336,0.0087,0.0058,0.0351,0.0089,,,,,,,,,,,,,
ST,PR,Q1,6,6,0.2563,0.6807,20.312,34.317,6.523,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,13:10:08,77,0.2776,0.7107,0.2252,0.6148,0.0108,0.0304,0.0422,0.0447,,,,,,,,,,,,,
ST,PR,Q1,7,7,0.2608,0.7,20.251,34.55,6.096,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,13:10:25,60,0.2845,0.722,0.2359,0.6753,0.0107,0.0112,0.0409,0.016,,,,,,,,,,,,,
ST,PR,Q1,8,8,0.2481,0.6792,20.437,33.962,6.478,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,13:13:24,62,0.2779,0.7208,-0.0054,0.3224,0.0343,0.0509,0.1381,0.0749,,,,,,,,,,,,,
ST,PR,Q2,1,9,0.2224,0.5996,20.78,32.671,8.178,68.6116283,-149.5606433,577.6,3.7, GPS         ,17/07/2021,13:13:43,69,0.2394,0.619,0.2074,0.5838,0.0076,0.0077,0.0344,0.0128,,,,,,,,,,,,,
ST,PR,Q2,2,10,0.2279,0.6213,20.703,32.927,7.69,68.611645,-149.5621816,526.7,3.7, GPS         ,17/07/2021,13:14:01,66,0.2473,0.64,0.2088,0.6123,0.0089,0.0056,0.039,0.009,,,,,,,,,,,,,
ST,PR,Q2,3,11,0.2225,0.6215,20.779,32.675,7.626,68.6115916,-149.56331,483.2,3.7, GPS         ,17/07/2021,13:14:19,74,0.2475,0.6345,0.2027,0.6088,0.0089,0.0051,0.0399,0.0082,,,,,,,,,,,,,
ST,PR,Q2,4,12,0.2461,0.6645,20.449,33.804,6.812,68.6116283,-149.5644116,444.5,3.7, GPS         ,17/07/2021,13:14:35,70,0.2631,0.6793,0.2253,0.6516,0.0077,0.0056,0.0312,0.0084,,,,,,,,,,,,,
ST,PR,Q2,5,13,0.2151,0.5704,20.891,32.356,8.848,68.6116683,-149.564835,428.4,3.7, GPS         ,17/07/2021,13:14:53,84,0.2332,0.5859,0.0163,0.5379,0.0231,0.007,0.1075,0.0122,,,,,,,,,,,,,
ST,PR,Q2,6,14,0.2184,0.599,20.837,32.486,8.147,68.611705,-149.5656016,409.4,3.7, GPS         ,17/07/2021,13:15:07,56,0.2398,0.6108,0.195,0.583,0.009,0.0059,0.0411,0.0098,,,,,,,,,,,,,
ST,PR,Q2,7,15,0.2167,0.5835,20.902,32.505,8.536,68.6116933,-149.5658333,400,3.7, GPS         ,17/07/2021,13:15:23,53,0.2403,0.6145,-0.1346,0.4658,0.0496,0.0232,0.2287,0.0398,,,,,,,,,,,,,
ST,PR,Q2,8,16,0.2365,0.613,20.582,33.339,7.998,68.6116816,-149.56607,392.4,3.7, GPS         ,17/07/2021,13:16:05,76,0.2556,0.63,0.2068,0.5982,0.0091,0.0062,0.0383,0.0102,,,,,,,,,,,,,
ST,PR,Q3,1,17,0.2403,0.6244,20.529,33.52,7.751,68.6116633,-149.5654233,401.9,3.7, GPS         ,17/07/2021,13:16:22,52,0.2575,0.6366,0.2238,0.6109,0.0071,0.0053,0.0297,0.0085,,,,,,,,,,,,,
