REGION,DATE,SITE,TREATMENT,QUAD,QUAD2,Written NDVI,PLOT,NDVI,NDRE,RE,NIR,R,LATITUDE,LONGITUDE,ELEVATION,HDOP,FIXTYPE,DATE,TIME,N,MAXNDRE,MAXNDVI,MINNDRE,MINNDVI,STDNDRE,STDNDVI,CVNDRE,CVNDVI,
Toolik,JULY 13 2018,PL,CT,C4.5,C4,0.5411,30,0.5411,0.2073,20.999,31.989,9.522,68.56221,-149.4869583,902.3,0.9, GPS         ,13/07/2018,6:50:35,46,0.2336,0.5671,0.1774,0.5172,0.0139,0.0119,0.0671,0.0219,
Toolik,JULY 13 2018,PL,CT,C4.6,C4,0.48,31,0.48,0.1855,21.322,31.045,10.904,68.5622166,-149.486935,902,0.9, GPS         ,13/07/2018,6:50:55,46,0.2235,0.5063,0.1495,0.4478,0.0148,0.0119,0.0798,0.0249,
Toolik,JULY 13 2018,PL,CT,C4.7,C4,0.4779,32,0.4779,0.1899,21.257,31.227,11.028,68.56222,-149.4869583,902.8,0.9, GPS         ,13/07/2018,6:51:11,49,0.2197,0.5017,0.1623,0.4582,0.014,0.0099,0.0736,0.0206,
Toolik,JULY 13 2018,PL,CT,C4.8,C4,0.4867,33,0.4867,0.1956,21.171,31.476,10.864,68.5622133,-149.4869516,903,0.9, GPS         ,13/07/2018,6:52:09,36,0.2292,0.5087,0.1693,0.4661,0.0135,0.0101,0.0691,0.0207,
Toolik,JULY 13 2018,PL,CT,C5.1,C5,0.5107,34,0.5107,0.212,20.931,32.206,10.429,68.5621933,-149.4869666,900.4,0.9, GPS         ,13/07/2018,6:52:26,51,0.2477,0.553,0.1757,0.4744,0.016,0.0153,0.0757,0.03,
Toolik,JULY 13 2018,PL,CT,C5.2,C5,0.4246,35,0.4246,0.1969,21.151,31.53,12.731,68.5621866,-149.4869366,899.9,0.9, GPS         ,13/07/2018,6:53:04,35,0.2266,0.4477,0.165,0.4005,0.0122,0.0096,0.0618,0.0227,
Toolik,JULY 13 2018,PL,CT,C5.3,C5,0.4403,36,0.4403,0.1818,21.379,30.89,12.001,68.56219,-149.4869233,903,0.9, GPS         ,13/07/2018,6:53:20,53,0.2172,0.4702,0.1517,0.4156,0.0154,0.013,0.0848,0.0295,
Toolik,JULY 13 2018,PL,CT,C5.4,C5,0.4302,37,0.4302,0.1813,21.388,30.873,12.296,68.56219,-149.4869466,903,0.9, GPS         ,13/07/2018,6:53:38,42,0.2267,0.4714,0.1374,0.3978,0.0186,0.0142,0.1025,0.0331,
Toolik,JULY 13 2018,PL,CT,C5.5,C5,0.4386,38,0.4386,0.1934,21.203,31.377,12.244,68.5621883,-149.4869466,903.2,0.9, GPS         ,13/07/2018,6:53:59,53,0.2152,0.4623,0.1698,0.4197,0.0124,0.0097,0.064,0.0221,
Toolik,JULY 13 2018,PL,CT,C5.6,C5,0.4083,39,0.4083,0.189,21.269,31.188,13.103,68.56218,-149.4869366,904.9,0.9, GPS         ,13/07/2018,6:54:18,26,0.2125,0.4273,0.161,0.3896,0.0123,0.0084,0.0651,0.0206,
Toolik,JULY 13 2018,PL,CT,C5.7,C5,0.4841,40,0.4841,0.1977,21.141,31.567,10.97,68.5621866,-149.486935,904.7,0.9, GPS         ,13/07/2018,6:54:32,26,0.2234,0.5009,0.1627,0.4619,0.015,0.0106,0.076,0.022,
Toolik,JULY 13 2018,PL,CT,C5.8,C5,0.5576,41,0.5576,0.215,20.887,32.327,9.181,68.5621883,-149.4869433,905.4,0.9, GPS         ,13/07/2018,6:55:41,32,0.2329,0.5739,0.2016,0.534,0.0079,0.0095,0.0367,0.0171,
Toolik,JULY 13 2018,PL,CT,C6.1,C6,0.5357,42,0.5357,0.1942,21.191,31.405,9.494,68.562185,-149.4869166,903.2,0.9, GPS         ,13/07/2018,6:55:57,27,0.2097,0.5494,0.1771,0.519,0.0075,0.008,0.0388,0.0149,
Toolik,JULY 13 2018,PL,CT,C6.2,C6,0.4877,43,0.4877,0.1931,21.215,31.391,10.799,68.5621883,-149.4868733,904.1,0.9, GPS         ,13/07/2018,6:56:13,19,0.2349,0.5445,0.1463,0.4404,0.0254,0.0241,0.1317,0.0493,
Toolik,JULY 13 2018,PL,CT,C6.3,C6,0.626,44,0.626,0.232,20.646,33.122,7.617,68.562185,-149.486915,902.3,0.9, GPS         ,13/07/2018,6:56:31,43,0.2521,0.6426,0.1979,0.6086,0.0102,0.0058,0.0438,0.0092,
Toolik,JULY 13 2018,PL,CT,C6.4,C6,0.552,45,0.552,0.2221,20.785,32.66,9.425,68.5621916,-149.48691,901.8,0.9, GPS         ,13/07/2018,6:56:51,28,0.2435,0.5671,0.1915,0.5199,0.0112,0.0103,0.0502,0.0186,
Toolik,JULY 13 2018,PL,CT,C6.5,C6,0.4925,46,0.4925,0.189,21.27,31.187,10.604,68.5621966,-149.4868983,901.9,0.9, GPS         ,13/07/2018,6:57:06,32,0.2114,0.5054,0.1635,0.4668,0.0123,0.0082,0.0651,0.0167,
Toolik,JULY 13 2018,PL,CT,C6.6,C6,0.5208,47,0.5208,0.2138,20.903,32.272,10.167,68.5621916,-149.4869133,902.8,0.9, GPS         ,13/07/2018,6:57:22,18,0.2261,0.5336,0.2049,0.5075,0.0061,0.0061,0.0283,0.0117,
Toolik,JULY 13 2018,PL,CT,C6.7,C6,0.4249,48,0.4259,0.1848,21.333,31.009,12.482,68.562185,-149.486935,903.9,0.9, GPS         ,13/07/2018,6:57:35,25,0.2099,0.4435,0.1522,0.4044,0.0117,0.0085,0.0635,0.02,
Toolik,JULY 13 2018,PL,CT,C6.8,C6,0.4582,49,0.4582,0.1926,21.214,31.338,11.647,68.56219,-149.4869316,904.4,0.9, GPS         ,13/07/2018,6:58:29,32,0.2084,0.4874,0.1793,0.4293,0.0073,0.0143,0.0378,0.0312,
Toolik,JULY 13 2018,PL,CT,C7.1,C7,0.51,50,0.51,0.1928,21.211,31.346,10.171,68.562205,-149.486905,904,0.8, GPS         ,13/07/2018,6:59:03,52,0.2074,0.5246,0.1735,0.4941,0.0067,0.0074,0.0348,0.0144,
Toolik,JULY 13 2018,PL,CT,C7.2,C7,0.4945,51,0.4945,0.1971,21.148,31.537,10.665,68.5621666,-149.48695,906.6,0.8, GPS         ,13/07/2018,6:59:35,28,0.2144,0.5112,0.1747,0.4757,0.0107,0.0086,0.0542,0.0173,
Toolik,JULY 13 2018,PL,CT,C7.3,C7,0.3689,52,0.3689,0.1686,21.582,30.338,13.983,68.5621466,-149.4869683,905,0.8, GPS         ,13/07/2018,6:59:50,32,0.1889,0.3922,0.1455,0.334,0.0123,0.0139,0.0728,0.0377,
Toolik,JULY 13 2018,PL,CT,C7.4,C7,0.3387,53,0.3387,0.1629,21.67,30.105,14.869,68.5621666,-149.4869566,903.3,0.8, GPS         ,13/07/2018,7:00:07,27,0.1827,0.356,0.1451,0.3223,0.0103,0.0094,0.0634,0.0276,
Toolik,JULY 13 2018,PL,CT,C7.5,C7,0.4415,54,0.4415,0.1872,21.296,31.111,12.053,68.562175,-149.4869533,904.9,0.9, GPS         ,13/07/2018,7:00:22,32,0.2082,0.4581,0.1609,0.414,0.0113,0.0098,0.0605,0.0222,
Toolik,JULY 13 2018,PL,CT,C7.6,C7,0.498,55,0.498,0.1963,21.16,31.502,10.556,68.5621733,-149.4869333,903.9,0.8, GPS         ,13/07/2018,7:00:40,40,0.2209,0.515,0.17,0.4813,0.0117,0.0094,0.0597,0.0189,
Toolik,JULY 13 2018,PL,CT,C7.7,C7,0.5284,56,0.5284,0.2103,20.953,32.121,9.909,68.5621616,-149.4869366,902.1,0.8, GPS         ,13/07/2018,7:00:55,26,0.239,0.5406,0.1934,0.512,0.0096,0.0068,0.0458,0.0129,
Toolik,JULY 13 2018,PL,CT,C7.8,C7,0.4683,57,0.4683,0.187,21.299,31.099,11.261,68.5621766,-149.4869366,903,0.8, GPS         ,13/07/2018,7:01:31,24,0.2019,0.4853,0.1693,0.4548,0.0092,0.008,0.0492,0.0171,
Toolik,JULY 13 2018,PL,CT,C8.1,C8,0.4886,58,0.4886,0.1846,21.334,30.996,10.649,68.5621683,-149.4869133,902.3,0.8, GPS         ,13/07/2018,7:02:00,37,0.203,0.5027,0.1672,0.4732,0.0063,0.0056,0.0341,0.0115,
Toolik,JULY 13 2018,PL,CT,C8.2,C8,0.5493,59,0.5493,0.1944,21.188,31.415,9.138,68.5621833,-149.486955,903.9,0.8, GPS         ,13/07/2018,7:02:13,22,0.206,0.5713,0.1749,0.5297,0.0083,0.0099,0.0426,0.018,
Toolik,JULY 13 2018,PL,CT,C8.3,C8,0.4418,60,0.4418,0.1791,21.423,30.781,11.924,68.5621716,-149.4869566,903.5,0.8, GPS         ,13/07/2018,7:02:32,33,0.2146,0.4862,0.1234,0.3781,0.0196,0.0245,0.1095,0.0554,
Toolik,JULY 13 2018,PL,CT,C8.4,C8,0.4613,61,0.4613,0.1803,21.403,30.827,11.361,68.56217,-149.4869416,903.2,0.8, GPS         ,13/07/2018,7:02:49,27,0.214,0.4969,0.135,0.4359,0.0169,0.0144,0.0935,0.0312,
Toolik,JULY 13 2018,PL,CT,C8.5,C8,0.5002,62,0.5002,0.2018,21.142,31.874,10.605,68.5621816,-149.4869466,903.8,0.8, GPS         ,13/07/2018,7:03:04,45,0.2311,0.5242,-0.1908,0.4469,0.0598,0.0123,0.2963,0.0246,
Toolik,JULY 13 2018,PL,CT,C8.6,C8,0.4199,63,0.4199,0.1812,21.386,30.854,12.608,68.5621816,-149.4869716,903.1,0.9, GPS         ,13/07/2018,7:03:21,51,0.2064,0.4492,0.1612,0.3922,0.0081,0.0142,0.0446,0.0337,
Toolik,JULY 13 2018,PL,CT,C8.7,C8,0.6075,64,0.6075,0.2347,20.607,33.247,8.119,68.5621683,-149.48698,901.3,0.9, GPS         ,13/07/2018,7:03:33,26,0.246,0.6241,0.2229,0.5961,0.0059,0.0061,0.025,0.01,
Toolik,JULY 13 2018,PL,CT,C8.8,C8,0.6397,65,0.4834,0.1851,21.328,31.025,10.802,68.562205,-149.4870866,899.6,1.4, GPS         ,13/07/2018,7:07:09,29,0.2115,0.5129,0.1642,0.4702,0.0129,0.0099,0.0698,0.0205,
Toolik,JULY 13 2018,PL,CT,F1.1,F1,0.1822,66,0.483,0.1822,21.371,30.901,10.772,68.5622233,-149.4870466,900.4,1.4, GPS         ,13/07/2018,7:07:37,22,0.2103,0.497,0.1591,0.458,0.0112,0.0082,0.0616,0.0169,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F1.2,F1,0.1955,67,0.5186,0.1955,21.172,31.464,9.972,68.5622166,-149.4870516,900.5,1.4, GPS         ,13/07/2018,7:07:55,18,0.2112,0.5344,0.1778,0.5097,0.0093,0.0071,0.0476,0.0137,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F1.3,F1,0.204,68,0.525,0.204,21.047,31.842,9.915,68.5622216,-149.4870583,901.1,1.4, GPS         ,13/07/2018,7:08:15,35,0.2366,0.5424,0.1814,0.5101,0.0128,0.0086,0.0628,0.0163,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F1.4,F1,0.1914,69,0.4922,0.1914,21.231,31.287,10.646,68.562205,-149.4871066,900.9,1.4, GPS         ,13/07/2018,7:08:30,13,0.2063,0.5073,0.1822,0.4771,0.0065,0.0077,0.0341,0.0157,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F1.5,F1,0.1877,70,0.5088,0.1877,21.289,31.138,10.136,68.56222,-149.4870566,902.2,1.4, GPS         ,13/07/2018,7:08:49,26,0.2128,0.5234,0.1615,0.4917,0.0143,0.0085,0.0763,0.0167,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F1.6,F1,0.1921,71,0.515,0.1921,21.221,31.316,10.026,68.5622,-149.4870666,900.2,1.4, GPS         ,13/07/2018,7:09:02,26,0.2073,0.5256,0.1808,0.5044,0.0068,0.0058,0.0352,0.0113,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F1.7,F1,0.192,72,0.5123,0.192,21.223,31.311,10.096,68.5621983,-149.48707,899.9,1.4, GPS         ,13/07/2018,7:09:51,20,0.2037,0.5232,0.1799,0.4982,0.0068,0.0061,0.0354,0.0119,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F2.1,F2,0.2238,73,0.6109,0.2238,20.761,32.738,7.908,68.56221,-149.4869983,900.6,1.6, GPS         ,13/07/2018,7:10:18,31,0.2461,0.6247,0.2077,0.5975,0.0106,0.0072,0.0473,0.0119,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F2.2,F2,0.223,74,0.6228,0.223,20.772,32.702,7.6,68.5622083,-149.4869966,900.9,1.4, GPS         ,13/07/2018,7:10:40,33,0.243,0.6346,0.1977,0.6084,0.0105,0.0067,0.0469,0.0108,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F2.3,F2,0.2176,75,0.5898,0.2176,20.848,32.448,8.372,68.56223,-149.4870133,900.6,1.7, GPS         ,13/07/2018,7:11:01,27,0.2321,0.5986,0.2079,0.5791,0.0068,0.005,0.0314,0.0084,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F2.4,F2,0.2045,76,0.572,0.2045,21.044,31.874,8.673,68.56222,-149.48706,899.8,1.7, GPS         ,13/07/2018,7:11:18,50,0.2204,0.5886,0.0681,0.3915,0.0207,0.0265,0.1015,0.0464,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F2.5,F2,0.2051,77,0.5559,0.2051,21.03,31.892,9.1,68.5622366,-149.4870416,900.3,1.7, GPS         ,13/07/2018,7:11:34,44,0.2331,0.5884,0.1747,0.5255,0.0134,0.0115,0.0652,0.0207,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F2.6,F2,0.1995,78,0.5802,0.1995,21.112,31.641,8.405,68.5622333,-149.487035,899.6,1.7, GPS         ,13/07/2018,7:11:58,22,0.2119,0.5901,0.1734,0.5672,0.0097,0.0061,0.0485,0.0105,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F2.7,F2,0.2233,79,0.6089,0.2233,20.767,32.715,7.952,68.5622283,-149.4870633,899.6,1.7, GPS         ,13/07/2018,7:13:04,38,0.2411,0.6227,0.1981,0.5941,0.0096,0.0067,0.043,0.0109,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F3.1,F3,0.1951,80,0.5277,0.1951,21.178,31.448,9.721,68.5622083,-149.4869783,900.8,1.3, GPS         ,13/07/2018,7:13:24,22,0.2125,0.5412,0.1694,0.5099,0.0106,0.0073,0.0543,0.0138,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F3.2,F3,0.2005,81,0.5541,0.2005,21.098,31.682,9.09,68.5622033,-149.48698,899.5,1.3, GPS         ,13/07/2018,7:13:51,32,0.2248,0.5769,0.1819,0.5376,0.0096,0.0095,0.048,0.0171,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F3.3,F3,0.1847,82,0.5432,0.1847,21.333,31.004,9.176,68.562215,-149.4870066,900.1,1.3, GPS         ,13/07/2018,7:14:26,15,0.2038,0.5532,0.1637,0.5227,0.01,0.0081,0.0539,0.0149,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F3.4,F3,0.1949,83,0.5549,0.1949,21.181,31.438,8.998,68.5622266,-149.4870183,898.5,1.3, GPS         ,13/07/2018,7:14:44,21,0.2112,0.5689,0.1744,0.5404,0.0097,0.0065,0.0496,0.0117,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F3.5,F3,0.2036,84,0.5928,0.2036,21.052,31.818,8.135,68.5622016,-149.4870366,898.6,1.3, GPS         ,13/07/2018,7:15:00,25,0.2251,0.6041,0.1885,0.5826,0.0084,0.0058,0.0413,0.0097,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F3.6,F3,0.2002,85,0.5729,0.2002,21.101,31.668,8.598,68.562205,-149.487,898.5,1.3, GPS         ,13/07/2018,7:15:18,35,0.2169,0.5873,0.1787,0.5609,0.0079,0.0065,0.0395,0.0113,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 13 2018,PL,CT,F3.7,F3,0.2015,,,,,,,,,,,,,,,,,,,,,,,NDRE HAVE A WRITTEN VALUE BUT NO SAVED VALUE… THIS WAS THE LAST POINT BEFORE IT GOT TURNED OFF ON THE DAY THESE WERE TAKEN
Toolik,JULY 14 2018,PL,EX,F1.1,F1,0.537,1,0.537,0.2032,21.057,31.802,9.58,---.-------   ,---.-------   ,,---          ,---          ,13/07/2018,21:56:41,28,0.2247,0.5554,0.1907,0.5222,0.0089,0.0071,0.044,0.0133,GOT CHANGED TO NDRE AND WAS NOT SURE HOW TO GET IT BACK
Toolik,JULY 14 2018,PL,EX,F1.2,F1,0.5277,2,0.5277,0.2018,21.077,31.74,9.812,---.-------   ,---.-------   ,,---          ,---          ,13/07/2018,21:56:41,48,0.2223,0.5399,0.1847,0.5134,0.0078,0.0062,0.0387,0.0117,
Toolik,JULY 14 2018,PL,EX,F1.3,F1,0.5652,3,0.5652,0.2094,20.967,32.08,8.911,---.-------   ,---.-------   ,,---          ,---          ,13/07/2018,21:56:41,57,0.2312,0.5785,0.1862,0.543,0.0109,0.0074,0.0518,0.0131,
Toolik,JULY 14 2018,PL,EX,F1.4,F1,0.5388,4,0.5388,0.1966,21.156,31.514,9.443,---.-------   ,---.-------   ,,---          ,---          ,13/07/2018,21:56:41,38,0.2248,0.5601,0.1763,0.5238,0.0121,0.0084,0.0616,0.0155,
Toolik,JULY 14 2018,PL,EX,F1.5,F1,0.5297,5,0.5297,0.199,21.121,31.617,9.719,---.-------   ,---.-------   ,,---          ,---          ,13/07/2018,21:56:41,37,0.2282,0.5528,0.1699,0.51,0.0111,0.0085,0.0556,0.0161,
Toolik,JULY 14 2018,PL,EX,F1.6,F1,0.5728,6,0.5728,0.2064,21.01,31.942,8.676,---.-------   ,---.-------   ,,---          ,---          ,13/07/2018,21:56:41,46,0.2185,0.5905,0.1889,0.5609,0.0074,0.0071,0.0359,0.0124,
Toolik,JULY 14 2018,PL,EX,F1.7,F1,0.561,7,0.561,0.2052,21.028,31.888,8.966,---.-------   ,---.-------   ,,---          ,---          ,13/07/2018,21:56:41,47,0.2231,0.5713,0.1864,0.5412,0.0085,0.0071,0.0415,0.0127,
