PLOT,Region,Site ,Treatment,Quadrat,NDRE,NDVI,RE,NIR,R,LATITUDE,LONGITUDE,ELEVATION,HDOP,FIXTYPE,DATE,TIME,N,MAXNDRE,MAXNDVI,MINNDRE,MINNDVI,STDNDRE,STDNDVI,CVNDRE,CVNDVI
29,T,PL,EX,Q1,0.2266,0.6215,20.722,32.867,7.671,68.5620183,-149.486965,898.6,1, GPS         ,3/7/2019,22:41:00,16,0.2462,0.6345,0.207,0.6057,0.0107,0.0069,0.0472,0.0111
30,T,PL,EX,Q1,0.2099,0.5509,20.961,32.102,9.294,68.5620133,-149.4869666,898.6,1, GPS         ,3/7/2019,22:41:18,18,0.2267,0.5726,0.1872,0.5339,0.0113,0.0102,0.0538,0.0184
31,T,PL,EX,Q1,0.197,0.5199,21.149,31.533,9.958,68.5620133,-149.4869583,898.7,1, GPS         ,3/7/2019,22:41:32,17,0.2148,0.5355,0.1767,0.5128,0.011,0.0071,0.056,0.0137
32,T,PL,EX,Q1,0.2067,0.5804,21.008,31.968,8.485,68.5620166,-149.4869666,899.4,1, GPS         ,3/7/2019,22:41:42,15,0.2361,0.5981,0.1813,0.5649,0.0158,0.0085,0.0762,0.0147
33,T,PL,EX,Q1,0.2125,0.5532,20.923,32.223,9.266,68.5620166,-149.48698,900,1, GPS         ,3/7/2019,22:44:07,18,0.2355,0.5724,0.1894,0.5404,0.0127,0.0092,0.0598,0.0167
34,T,PL,EX,Q2,0.216,0.5633,20.872,32.376,9.044,68.5620166,-149.4870333,905.2,1, GPS         ,3/7/2019,22:44:18,34,0.2331,0.5778,0.1967,0.5513,0.0088,0.0067,0.0408,0.0118
35,T,PL,EX,Q2,0.2132,0.5793,20.968,32.389,8.594,68.56202,-149.4869966,904.6,1, GPS         ,3/7/2019,22:44:29,31,0.2373,0.6082,-0.1047,0.1912,0.0584,0.0711,0.2739,0.1227
36,T,PL,EX,Q2,0.2132,0.6509,20.912,32.249,6.818,68.562025,-149.48698,903.6,1, GPS         ,3/7/2019,22:44:40,28,0.2356,0.6643,0.1878,0.6374,0.0099,0.0061,0.0467,0.0093
37,T,PL,EX,Q2,0.2341,0.6554,20.615,33.222,6.916,68.5620266,-149.4869783,902.8,1, GPS         ,3/7/2019,22:44:50,28,0.253,0.6666,0.2156,0.6411,0.0088,0.0066,0.0374,0.0101
38,T,PL,EX,Q2,0.2404,0.669,20.528,33.524,6.649,68.562025,-149.4869816,902.2,1, GPS         ,3/7/2019,22:45:01,28,0.2586,0.6821,0.2243,0.6551,0.0084,0.0056,0.0348,0.0084
39,T,PL,EX,Q2,0.2417,0.6821,20.511,33.591,6.348,68.5620233,-149.4869816,901.9,1, GPS         ,3/7/2019,22:45:12,30,0.2711,0.6919,0.2247,0.6695,0.0108,0.0051,0.0447,0.0075
40,T,PL,EX,Q2,0.2156,0.6293,20.878,32.361,7.361,68.5620216,-149.4869733,902.3,1, GPS         ,3/7/2019,22:45:23,20,0.2376,0.6443,0.1878,0.6135,0.012,0.007,0.0555,0.0111
41,T,PL,EX,Q2,0.2154,0.6252,20.881,32.349,7.458,68.5620216,-149.48698,902.3,1, GPS         ,3/7/2019,22:47:45,21,0.2381,0.6392,0.197,0.6097,0.0093,0.0067,0.043,0.0106
42,T,PL,EX,Q3,0.2109,0.6515,20.979,32.245,6.784,68.5620233,-149.486955,898.2,1, GPS         ,3/7/2019,22:47:55,25,0.2461,0.6727,-0.0158,0.5582,0.0474,0.0201,0.2247,0.0309
43,T,PL,EX,Q3,0.217,0.6383,20.857,32.426,7.157,68.5620233,-149.4869716,898,1, GPS         ,3/7/2019,22:48:07,24,0.2448,0.6517,0.1994,0.627,0.0105,0.0062,0.0486,0.0098
44,T,PL,EX,Q3,0.2041,0.6141,21.045,31.844,7.616,68.5620183,-149.4869866,897.1,1, GPS         ,3/7/2019,22:48:17,30,0.2285,0.6738,0.1773,0.593,0.0116,0.0132,0.057,0.0216
45,T,PL,EX,Q3,0.2114,0.6162,20.938,32.167,7.637,68.5620183,-149.4869966,896.9,1, GPS         ,3/7/2019,22:48:30,28,0.2264,0.6289,0.1952,0.6021,0.0079,0.0064,0.0371,0.0104
46,T,PL,EX,Q3,0.2398,0.6847,20.537,33.499,6.267,68.5620133,-149.4870016,897.8,1, GPS         ,3/7/2019,22:48:39,21,0.261,0.6975,0.2158,0.6744,0.0105,0.0058,0.0436,0.0085
47,T,PL,EX,Q3,0.2265,0.6514,20.722,32.865,6.935,68.5620133,-149.4870066,898.4,1, GPS         ,3/7/2019,22:48:49,23,0.2504,0.6633,0.2065,0.6356,0.0104,0.0067,0.046,0.0102
48,T,PL,EX,Q3,0.2425,0.6828,20.499,33.634,6.338,68.562015,-149.4870083,900.1,1, GPS         ,3/7/2019,22:49:01,24,0.2689,0.6975,0.2195,0.6688,0.0116,0.0065,0.0478,0.0096
49,T,PL,EX,Q3,0.2372,0.6773,20.573,33.371,6.418,68.5620183,-149.4870033,901.1,1, GPS         ,3/7/2019,22:51:37,27,0.2537,0.6901,0.2157,0.6541,0.0101,0.007,0.0425,0.0103
52,T,PL,EX,Q4,0.2364,0.7416,20.583,33.332,4.946,68.5620283,-149.4870283,904.5,1, GPS         ,3/7/2019,22:52:21,19,0.2506,0.7479,0.2209,0.735,0.0077,0.0032,0.0324,0.0043
53,T,PL,EX,Q4,0.2414,0.7655,20.514,33.572,4.459,68.5620233,-149.4870266,903.3,1, GPS         ,3/7/2019,22:52:31,27,0.2509,0.7718,0.2288,0.7565,0.0061,0.0044,0.0251,0.0058
54,T,PL,EX,Q4,0.2223,0.7273,20.781,32.665,5.158,68.56202,-149.4870316,902.4,1, GPS         ,3/7/2019,22:52:42,23,0.2329,0.7466,0.2094,0.7043,0.0068,0.0124,0.0305,0.017
55,T,PL,EX,Q4,0.2059,0.6639,21.018,31.925,6.448,68.5620183,-149.4870366,902.2,1, GPS         ,3/7/2019,22:52:53,22,0.2228,0.6738,0.1869,0.6525,0.0111,0.0064,0.0537,0.0096
56,T,PL,EX,Q4,0.2115,0.6614,20.936,32.17,6.555,68.5620133,-149.4870266,901.5,1, GPS         ,3/7/2019,22:53:05,22,0.2221,0.6706,0.2,0.6467,0.0064,0.006,0.0302,0.0091
57,T,PL,EX,Q4,0.2075,0.6388,20.995,31.993,7.049,68.5620116,-149.4870216,900.9,1, GPS         ,3/7/2019,22:53:19,19,0.2259,0.6555,0.1881,0.6247,0.01,0.0077,0.0483,0.0121
58,T,PL,EX,Q4,0.2058,0.6592,21.019,31.917,6.556,68.5620133,-149.48701,900.7,1, GPS         ,3/7/2019,22:53:34,17,0.219,0.6715,0.1933,0.6443,0.0086,0.0073,0.042,0.011
59,T,PL,EX,Q4,0.2026,0.6766,21.067,31.776,6.128,68.5620133,-149.4870066,901.4,1, GPS         ,3/7/2019,22:56:38,18,0.2296,0.6909,0.1795,0.6648,0.011,0.0065,0.0541,0.0096
60,T,PL,EX,Q5,0.2059,0.6082,21.019,31.924,7.775,68.562015,-149.4869566,901.7,1, GPS         ,3/7/2019,22:56:47,16,0.2296,0.6193,0.1808,0.5987,0.0121,0.0059,0.0587,0.0097
61,T,PL,EX,Q5,0.2069,0.6179,21.004,31.967,7.55,68.5620166,-149.48697,901.2,1, GPS         ,3/7/2019,22:56:59,21,0.2283,0.6281,0.1864,0.6058,0.0104,0.0058,0.0501,0.0094
62,T,PL,EX,Q5,0.2075,0.635,20.995,31.99,7.141,68.562015,-149.4869816,902.1,1, GPS         ,3/7/2019,22:57:09,28,0.2257,0.6591,0.1919,0.6231,0.0081,0.0084,0.0392,0.0133
63,T,PL,EX,Q5,0.2113,0.6756,20.94,32.165,6.227,68.5620183,-149.4869933,901.4,1, GPS         ,3/7/2019,22:57:20,33,0.233,0.6848,0.1873,0.6665,0.0108,0.0052,0.0509,0.0077
64,T,PL,EX,Q5,0.2345,0.7349,20.61,33.242,5.078,68.5620133,-149.4869916,900.8,1, GPS         ,3/7/2019,22:57:30,19,0.2513,0.7449,0.2189,0.7223,0.0089,0.0062,0.0379,0.0085
65,T,PL,EX,Q5,0.2251,0.7033,20.741,32.795,5.712,68.56201,-149.487,900.1,1, GPS         ,3/7/2019,22:57:39,12,0.2364,0.7125,0.2134,0.6963,0.0063,0.0053,0.0278,0.0076
66,T,PL,EX,Q5,0.2142,0.6598,20.898,32.289,6.618,68.562015,-149.4869916,900.2,1, GPS         ,3/7/2019,22:57:51,15,0.223,0.6747,0.2043,0.6438,0.0053,0.009,0.0247,0.0136
67,T,PL,EX,Q5,0.204,0.6232,21.045,31.839,7.389,68.562015,-149.486985,900.6,1, GPS         ,3/7/2019,23:00:31,17,0.2234,0.6334,0.1837,0.6107,0.0092,0.0059,0.0449,0.0095
68,T,PL,EX,Q6,0.1763,0.5842,21.461,30.651,8.043,68.56199,-149.4870416,901.2,0.9, GPS         ,3/7/2019,23:00:45,15,0.1905,0.5981,0.1609,0.5735,0.0079,0.0065,0.0448,0.0112
69,T,PL,EX,Q6,0.1915,0.5999,21.231,31.294,7.826,68.561995,-149.487045,901.2,0.9, GPS         ,3/7/2019,23:00:54,33,0.2189,0.6166,0.1716,0.5794,0.01,0.0078,0.0523,0.0131
70,T,PL,EX,Q6,0.1942,0.6032,21.192,31.411,7.774,68.561995,-149.487045,901.9,0.9, GPS         ,3/7/2019,23:01:04,21,0.2188,0.6163,0.166,0.5922,0.012,0.0063,0.0617,0.0104
71,T,PL,EX,Q6,0.2028,0.584,21.066,31.791,8.347,68.562,-149.4870566,902.5,0.9, GPS         ,3/7/2019,23:01:16,17,0.2311,0.6059,0.1813,0.5664,0.0155,0.0096,0.0765,0.0165
72,T,PL,EX,Q6,0.2055,0.5926,21.024,31.9,8.16,68.562,-149.4870683,902.7,0.9, GPS         ,3/7/2019,23:01:30,12,0.2139,0.6034,0.189,0.5783,0.007,0.0074,0.034,0.0125
73,T,PL,EX,Q6,0.1983,0.585,21.131,31.586,8.269,68.5620066,-149.487065,902.8,0.9, GPS         ,3/7/2019,23:01:41,18,0.2177,0.602,0.1832,0.5708,0.0104,0.0081,0.0522,0.0139
74,T,PL,EX,Q6,0.1895,0.5889,21.264,31.215,8.072,68.56201,-149.4870616,902.8,0.9, GPS         ,3/7/2019,23:01:52,24,0.2208,0.6085,0.164,0.5737,0.0168,0.0112,0.0889,0.0191
75,T,PL,EX,Q6,0.1988,0.5966,21.124,31.614,7.985,68.56201,-149.4870616,902.9,0.9, GPS         ,3/7/2019,23:04:43,17,0.2267,0.6139,0.1665,0.5789,0.0134,0.008,0.0674,0.0134
76,T,PL,EX,Q7,0.1886,0.5832,21.275,31.169,8.205,68.5619966,-149.4870766,901.2,0.9, GPS         ,3/7/2019,23:04:55,18,0.2067,0.5972,0.1684,0.5679,0.0108,0.0082,0.0574,0.0141
77,T,PL,EX,Q7,0.1978,0.6353,21.138,31.57,7.038,68.562,-149.4870766,898.2,0.9, GPS         ,3/7/2019,23:05:04,23,0.2227,0.6483,0.1653,0.6221,0.0124,0.0064,0.0627,0.0101
78,T,PL,EX,Q7,0.2023,0.6522,21.07,31.763,6.685,68.562,-149.4870883,897.9,0.9, GPS         ,3/7/2019,23:05:14,20,0.2237,0.6645,0.1877,0.6435,0.0095,0.0062,0.0471,0.0096
79,T,PL,EX,Q7,0.2013,0.66,21.086,31.718,6.494,68.5619966,-149.4870883,898.9,0.9, GPS         ,3/7/2019,23:05:24,26,0.2205,0.6718,0.1699,0.65,0.0107,0.0053,0.0533,0.008
80,T,PL,EX,Q7,0.1929,0.6185,21.212,31.362,7.388,68.5619966,-149.487095,899.9,0.9, GPS         ,3/7/2019,23:05:39,28,0.2133,0.6368,0.135,0.5986,0.0164,0.0099,0.0852,0.0161
81,T,PL,EX,Q7,0.1864,0.607,21.308,31.073,7.599,68.5620016,-149.4870933,901.4,0.9, GPS         ,3/7/2019,23:05:49,18,0.2055,0.6146,0.1673,0.5955,0.0086,0.0056,0.0459,0.0093
82,T,PL,EX,Q7,0.1904,0.6108,21.248,31.249,7.548,68.5620033,-149.4871016,901.7,0.9, GPS         ,3/7/2019,23:06:00,19,0.2069,0.6252,0.1575,0.5916,0.0114,0.0074,0.0598,0.0121
83,T,PL,EX,Q7,0.1951,0.609,21.179,31.455,7.641,68.562005,-149.4870983,902,0.9, GPS         ,3/7/2019,23:08:31,25,0.2301,0.6292,0.1591,0.5844,0.0154,0.0105,0.0788,0.0172
84,T,PL,EX,Q8,0.1945,0.5346,21.188,31.426,9.527,68.5619916,-149.4870333,900.3,0.9, GPS         ,3/7/2019,23:08:40,19,0.2214,0.5509,0.1698,0.5157,0.0136,0.0091,0.0699,0.0171
85,T,PL,EX,Q8,0.2004,0.5376,21.098,31.677,9.526,68.5620066,-149.4870366,901.5,0.9, GPS         ,3/7/2019,23:08:47,16,0.2159,0.545,0.1914,0.5268,0.0077,0.0055,0.0387,0.0102
86,T,PL,EX,Q8,0.208,0.5531,20.987,32.017,9.212,68.562005,-149.48704,901.6,0.9, GPS         ,3/7/2019,23:08:57,23,0.2262,0.5643,0.1865,0.5412,0.01,0.0066,0.0478,0.012
87,T,PL,EX,Q8,0.2026,0.5382,21.066,31.776,9.539,68.5620116,-149.487045,901.9,0.9, GPS         ,3/7/2019,23:09:06,19,0.225,0.5545,0.1904,0.5294,0.0094,0.0062,0.0464,0.0115
88,T,PL,EX,Q8,0.186,0.5228,21.313,31.056,9.732,68.5620166,-149.4870466,902.5,0.9, GPS         ,3/7/2019,23:09:16,19,0.207,0.5407,0.1743,0.5083,0.0077,0.0081,0.0413,0.0155
89,T,PL,EX,Q8,0.1901,0.5577,21.252,31.229,8.868,68.562015,-149.487045,902.2,0.9, GPS         ,3/7/2019,23:09:24,14,0.2028,0.5657,0.1768,0.5488,0.0068,0.0045,0.0358,0.0081
90,T,PL,EX,Q8,0.1779,0.5088,21.438,30.723,10,68.562015,-149.487045,902,0.9, GPS         ,3/7/2019,23:09:35,20,0.2076,0.5245,0.1566,0.485,0.0135,0.0088,0.0761,0.0174
91,T,PL,EX,Q8,0.1849,0.5197,21.332,31.021,9.799,68.5620166,-149.4870483,902.4,0.9, GPS         ,3/7/2019,23:31:58,12,0.2155,0.5364,0.1599,0.4973,0.0159,0.011,0.0861,0.0212
92,T,PL,PR,CH1,0.2181,0.5797,20.843,32.477,8.639,68.5617933,-149.4880933,900,0.8, GPS         ,3/7/2019,23:32:11,35,0.2449,0.6048,0.1905,0.565,0.0128,0.0091,0.0585,0.0157
93,T,PL,PR,CH1,0.2285,0.6057,20.696,32.972,8.093,68.5618016,-149.488055,898.1,0.8, GPS         ,3/7/2019,23:32:24,17,0.2688,0.6265,0.1978,0.5871,0.017,0.0115,0.0745,0.019
94,T,PL,PR,CH1,0.2352,0.6338,20.601,33.281,7.457,68.5618183,-149.48805,898.7,0.8, GPS         ,3/7/2019,23:32:36,20,0.2633,0.6481,0.2146,0.6198,0.0124,0.009,0.0527,0.0142
95,T,PL,PR,CH1,0.2357,0.6126,20.594,33.301,7.999,68.5618316,-149.48806,899.1,0.8, GPS         ,3/7/2019,23:32:50,29,0.2592,0.6259,0.2091,0.5964,0.0107,0.0072,0.0454,0.0117
96,T,PL,PR,CH1,0.2491,0.6481,20.409,33.959,7.249,68.5618416,-149.4880566,899.3,0.8, GPS         ,3/7/2019,23:33:06,26,0.2754,0.6814,0.2317,0.6288,0.0116,0.0125,0.0467,0.0193
97,T,PL,PR,CH1,0.2408,0.6494,20.524,33.553,7.13,68.561845,-149.4880316,899,0.8, GPS         ,3/7/2019,23:33:16,18,0.275,0.6622,0.2143,0.622,0.0144,0.0092,0.0597,0.0141
98,T,PL,PR,CH1,0.2339,0.6282,20.619,33.214,7.582,68.5618366,-149.48801,898.3,0.8, GPS         ,3/7/2019,23:33:28,30,0.2551,0.6398,0.2097,0.6058,0.0113,0.0085,0.0482,0.0135
99,T,PL,PR,CH1,0.2342,0.6208,20.614,33.232,7.773,68.561835,-149.488,898.3,0.8, GPS         ,3/7/2019,23:36:25,27,0.26,0.6392,0.2113,0.6058,0.0113,0.0081,0.0483,0.0131
100,T,PL,PR,CH2,0.2357,0.6402,20.594,33.3,7.304,68.5617933,-149.4881716,902.2,0.8, GPS         ,3/7/2019,23:36:36,25,0.262,0.6517,0.2188,0.6237,0.0108,0.0062,0.046,0.0097
101,T,PL,PR,CH2,0.2223,0.6136,20.783,32.674,7.823,68.56179,-149.48816,902.2,0.8, GPS         ,3/7/2019,23:36:49,30,0.2439,0.6238,0.1885,0.5975,0.0139,0.0073,0.0625,0.012
102,T,PL,PR,CH2,0.2307,0.6283,20.664,33.059,7.546,68.5618033,-149.4881216,902.4,0.8, GPS         ,3/7/2019,23:36:58,20,0.248,0.6405,0.2135,0.6109,0.0097,0.0064,0.042,0.0101
103,T,PL,PR,CH2,0.2307,0.6309,20.664,33.066,7.482,68.5618116,-149.4880816,902.2,0.8, GPS         ,3/7/2019,23:37:16,17,0.2533,0.6467,0.2025,0.6129,0.0128,0.0107,0.0556,0.0169
104,T,PL,PR,CH2,0.2337,0.6486,20.623,33.207,7.078,68.5618233,-149.4880433,902.7,0.8, GPS         ,3/7/2019,23:37:32,47,0.2701,0.6708,0.2075,0.6236,0.0135,0.0099,0.0578,0.0152
105,T,PL,PR,CH2,0.2257,0.633,20.734,32.822,7.374,68.56185,-149.4879966,903.1,0.8, GPS         ,3/7/2019,23:37:40,12,0.2385,0.6435,0.2074,0.6217,0.0084,0.0075,0.0373,0.0118
106,T,PL,PR,CH2,0.2262,0.6144,20.727,32.851,7.846,68.5618316,-149.4879966,902.3,0.8, GPS         ,3/7/2019,23:37:53,26,0.2441,0.6357,0.1989,0.5875,0.0118,0.0107,0.052,0.0173
107,T,PL,PR,CH2,0.2326,0.6223,20.637,33.157,7.718,68.56182,-149.4880133,902.6,0.8, GPS         ,3/7/2019,23:40:32,21,0.2561,0.6356,0.2101,0.6087,0.0125,0.0076,0.0539,0.0122
108,T,PL,PR,CH3,0.2214,0.6318,20.795,32.62,7.361,68.5618333,-149.488055,905.4,0.8, GPS         ,3/7/2019,23:40:50,17,0.2332,0.6354,0.2097,0.6249,0.0068,0.003,0.0309,0.0047
109,T,PL,PR,CH3,0.2196,0.6138,20.82,32.537,7.787,68.5618166,-149.4880133,903.6,0.8, GPS         ,3/7/2019,23:41:03,19,0.2305,0.6214,0.2069,0.6052,0.0064,0.0044,0.0291,0.0071
110,T,PL,PR,CH3,0.2113,0.5762,20.939,32.161,8.648,68.56181,-149.4879933,902,0.8, GPS         ,3/7/2019,23:41:17,18,0.2213,0.5918,0.198,0.56,0.0062,0.0081,0.0293,0.014
111,T,PL,PR,CH3,0.2315,0.6258,20.651,33.1,7.618,68.5617933,-149.48793,895.6,1.5, GPS         ,3/7/2019,23:41:28,20,0.249,0.6347,0.2121,0.6163,0.0085,0.0054,0.0367,0.0087
112,T,PL,PR,CH3,0.2237,0.6261,20.761,32.735,7.525,68.56177,-149.4879133,890.3,1.5, GPS         ,3/7/2019,23:41:41,21,0.2424,0.6385,0.2045,0.6152,0.0101,0.0058,0.0451,0.0092
113,T,PL,PR,CH3,0.2277,0.6036,20.706,32.916,8.135,68.5617483,-149.48799,888.7,0.8, GPS         ,3/7/2019,23:41:54,17,0.2444,0.6155,0.2075,0.5949,0.0085,0.0051,0.0375,0.0085
114,T,PL,PR,CH3,0.2157,0.5862,20.876,32.363,8.442,68.5617533,-149.48802,889.8,0.8, GPS         ,3/7/2019,23:42:10,18,0.2301,0.5993,0.198,0.5733,0.0083,0.0071,0.0386,0.0121
115,T,PL,PR,CH3,0.2286,0.6211,20.693,32.959,7.703,68.5617566,-149.488045,889.9,0.8, GPS         ,3/7/2019,23:46:41,19,0.2466,0.632,0.2168,0.6119,0.0077,0.0051,0.0338,0.0082
116,T,PL,PR,Q8,0.257,0.6303,20.303,34.352,7.788,68.56186,-149.48815,902.6,0.8, GPS         ,3/7/2019,23:46:50,19,0.2797,0.6446,0.2382,0.6159,0.0104,0.0079,0.0406,0.0125
117,T,PL,PR,Q8,0.2295,0.5934,20.682,33.009,8.42,68.56184,-149.4881466,902.2,0.8, GPS         ,3/7/2019,23:47:03,23,0.2532,0.6123,0.1897,0.5624,0.0145,0.0111,0.0631,0.0188
118,T,PL,PR,Q8,0.2357,0.6239,20.594,33.297,7.711,68.5618416,-149.488155,902.6,0.8, GPS         ,3/7/2019,23:47:14,16,0.2538,0.6334,0.2222,0.6116,0.0092,0.0062,0.0389,0.0099
119,T,PL,PR,Q8,0.2321,0.6115,20.643,33.122,7.985,68.5618466,-149.4881066,903.5,0.8, GPS         ,3/7/2019,23:47:26,15,0.2433,0.6201,0.2212,0.5992,0.0055,0.0062,0.0235,0.0101
120,T,PL,PR,Q8,0.2361,0.6157,20.589,33.319,7.925,68.561855,-149.4880866,904.1,0.8, GPS         ,3/7/2019,23:47:36,19,0.2548,0.6333,0.2126,0.5978,0.0115,0.0111,0.0487,0.018
121,T,PL,PR,Q8,0.2455,0.6544,20.458,33.78,7.054,68.56185,-149.4880933,904.6,0.8, GPS         ,3/7/2019,23:47:48,15,0.2691,0.6713,0.228,0.6315,0.0109,0.0115,0.0444,0.0176
122,T,PL,PR,Q8,0.2602,0.6903,20.26,34.517,6.324,68.56186,-149.4880883,905.1,0.8, GPS         ,3/7/2019,23:47:57,19,0.2872,0.7011,0.24,0.6796,0.0117,0.0063,0.0449,0.0091
