Treatment Start Year,Treatment End Year,Year,Site,Treatment,Block,Plot,Species Code,Relative Cover,Plant name or category,Accepted Latin Name or category
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,5,Bet nan,39.2,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,5,Eri vag,2.5,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,5,Rub cha,52.5,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,5,St. D. Bet.,3.3,#REF!,Standing Dead Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,6,litter,6.5,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,6,Bet nan,50,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,6,Eri vag,4,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,6,Led pal,3.2,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,6,Rub cha,36.3,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,7,litter,1.7,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,7,Bet nan,38.4,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,7,Eri vag,0.4,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,7,Led pal,1.7,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,7,Rub cha,55.9,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,7,St. D. Bet.,1.7,#REF!,Standing Dead Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,8,litter,7.2,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,8,Bet nan,38.1,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,8,Eri vag,9.3,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,8,Rub cha,45.4,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,moss,14.4,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,lichen,0.5,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,litter,1,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,Bet nan,18.3,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,Car big,5.8,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,Cas tet,1,#REF!,Cassiope tetragona
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,Emp nig,11.5,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,Eri vag,2.9,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,Led pal,1,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,Ped sp.,0.5,#REF!,Pedicularis sp.
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,Rub cha,29.8,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,Sal pul,1.9,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,Vac vit,9.6,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,1,St. D. Bet.,1.9,#REF!,Standing Dead Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,moss,16,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,litter,3.7,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,Bet nan,12.3,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,Car big,6.2,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,Cas tet,0.6,#REF!,Cassiope tetragona
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,Emp nig,8.6,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,Eri vag,11.1,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,Led pal,6.2,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,Ped sp.,0.6,#REF!,Pedicularis sp.
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,Pol bis,1.2,#REF!,Persicaria bistorta
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,Rub cha,21,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,Sal pul,1.2,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,Vac vit,6.2,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,2,St. D. Bet.,4.9,#REF!,Standing Dead Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,3,moss,9.2,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,3,litter,3.9,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,3,Bet nan,18.3,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,3,Car big,1.3,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,3,Cas tet,0.7,#REF!,Cassiope tetragona
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,3,Emp nig,3.9,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,3,Eri vag,14.4,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,3,Led pal,7.8,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,3,Rub cha,23.5,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,3,Sal pul,1.3,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,3,Vac vit,2.6,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,3,St. D. Bet.,13.1,#REF!,Standing Dead Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,4,moss,6.7,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,4,lichen,1.1,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,4,litter,14.6,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,4,Bet nan,15.7,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,4,Car big,6.7,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,4,Emp nig,3.4,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,4,Eri vag,18,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,4,Led pal,5.6,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,4,Rub cha,12.4,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,4,Sal pul,1.1,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,4,Vac vit,10.1,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,4,St. D. Bet.,4.5,#REF!,Standing Dead Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,moss,14.7,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,lichen,1.3,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,litter,6.7,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,Bet nan,8,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,Car big,16,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,Cas tet,0.7,#REF!,Cassiope tetragona
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,Emp nig,4,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,Eri vag,8,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,Led pal,5.3,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,Ped sp.,0.7,#REF!,Pedicularis sp.
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,Pol bis,1.3,#REF!,Persicaria bistorta
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,Rub cha,16,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,Sal pul,9.3,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,Vac vit,6.7,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,5,St. D. Bet.,1.3,#REF!,Standing Dead Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,moss,18.4,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,lichen,0.7,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,litter,2.8,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,Bet nan,9.9,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,Car big,2.8,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,Cas tet,2.8,#REF!,Cassiope tetragona
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,Emp nig,0.7,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,Eri vag,17,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,Led pal,2.8,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,Ped sp.,0.7,#REF!,Pedicularis sp.
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,Pol bis,2.8,#REF!,Persicaria bistorta
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,Rub cha,18.4,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,Sal pul,11.3,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,6,Vac vit,8.5,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,moss,10.6,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,lichen,0.8,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,litter,6.1,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,bare,1.5,#REF!,Bare soil
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,Bet nan,18.2,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,Car big,1.5,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,Cas tet,0.8,#REF!,Cassiope tetragona
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,Emp nig,1.5,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,Eri vag,21.2,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,Led pal,6.1,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,Pol bis,1.5,#REF!,Persicaria bistorta
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,Rub cha,13.6,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,Sal pul,3,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,Vac uli,3,#REF!,Vaccinium uliginosum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,Vac vit,7.6,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,7,St. D. Bet.,3,#REF!,Standing Dead Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,8,moss,16.9,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,8,lichen,0.7,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,8,litter,9.9,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,8,Bet nan,9.9,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,8,Car big,0.7,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,8,Cas tet,0.7,#REF!,Cassiope tetragona
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,8,Emp nig,2.8,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,8,Eri vag,21.1,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,8,Led pal,4.2,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,2,8,Ped sp.,0.7,#REF!,Pedicularis sp.
