"","site","treatment","species","sum.quad","avg.quad"
"192","ST","PU","Led pal",0.173798458,0.02172480725
"193","ST","PU","lichen",0.195341472,0.024417684
"194","ST","PU","moss",0.921908571,0.115238571375
"195","ST","PU","Ped lap",0.151333596,0.0189166995
"196","ST","PU","Pol bis",0.159950377,0.019993797125
"197","ST","PU","Rub cha",0.288711169,0.036088896125
"198","ST","PU","Sal pul",0.314171432,0.039271429
"199","ST","PU","Sal ret",0.028848577,0.003606072125
"200","ST","PU","Vac uli",0.243355486,0.03041943575
"201","ST","PU","Vac vit",0.547446251,0.068430781375
