"","year","treatment","func.group","avg.site","site.SD"
"59",2019,"PR","Sedge",0.189221584916667,0.101409240526919
"60",2019,"PR","Standing dead",0.01262075375,0.00123677555032044
"61",2019,"PU","Bare ground",0.00682636595833333,0.0059228345970467
"62",2019,"PU","Deciduous shrubs",0.236638058,0.0229285701462344
"63",2019,"PU","Evergreen shrubs",0.134101182625,0.0412699553581627
"64",2019,"PU","Forb",0.051363432,0.041323939789423
"65",2019,"PU","Grass",0.07410405375,0.0780264181011438
"66",2019,"PU","Lichen",0.0169161332916667,0.0130662712355577
"67",2019,"PU","Litter",0.105189963333333,0.030380137707081
"68",2019,"PU","Moss",0.153805656458333,0.0461611487840688
"69",2019,"PU","Sedge",0.195025566291667,0.0255647068004302
"70",2019,"PU","Standing dead",0.0219489163333333,0.0172590744820715
"71",2021,"CT","Bare ground",0.00671885516666667,0.00909520845886875
"72",2021,"CT","Deciduous shrubs",0.20355993375,0.0394971348795473
"73",2021,"CT","Evergreen shrubs",0.131486677041667,0.0488733552311219
"74",2021,"CT","Forb",0.0580986511666667,0.0786903486187175
"75",2021,"CT","Grass",0.0624480206666667,0.0459730973752354
"76",2021,"CT","Lichen",0.0374585667083333,0.0191994173691556
"77",2021,"CT","Litter",0.155427396791667,0.0114213712049053
"78",2021,"CT","Moss",0.172967432041667,0.0626636231879306
"79",2021,"CT","Sedge",0.139005603125,0.065677928253464
"80",2021,"CT","Standing dead",0.030869335625,0.00983194817030097
"81",2021,"EX","Bare ground",0.00141420845833333,0.00244948090232699
"82",2021,"EX","Deciduous shrubs",0.285997413875,0.121804903222539
"83",2021,"EX","Evergreen shrubs",0.055488492125,0.0386361035481014
"84",2021,"EX","Forb",0.0476611671666667,0.0656682760443792
"85",2021,"EX","Grass",0.058927281125,0.0459503849282838
"86",2021,"EX","Lichen",0.0124454032916667,0.0140197018374368
"87",2021,"EX","Litter",0.192741997541667,0.0462950307616793
"88",2021,"EX","Moss",0.118212663958333,0.0850599849901263
"89",2021,"EX","Sedge",0.191489973958333,0.0357079609856626
"90",2021,"EX","Standing dead",0.0315436397083333,0.0186539876505333
"91",2021,"PR","Bare ground",0.0133338258333333,0.0167373350489064
"92",2021,"PR","Deciduous shrubs",0.212021291333333,0.0224750888666603
"93",2021,"PR","Evergreen shrubs",0.095158172875,0.0706536603277373
"94",2021,"PR","Forb",0.0734402858333333,0.076042167749577
"95",2021,"PR","Grass",0.054629230375,0.0567288171234436
"96",2021,"PR","Lichen",0.02282863075,0.0144294997045863
"97",2021,"PR","Litter",0.163247538166667,0.0657016921145111
"98",2021,"PR","Moss",0.147850248958333,0.071378709003178
"99",2021,"PR","Sedge",0.192321403875,0.0570189176236282
"100",2021,"PR","Standing dead",0.0182905609166667,0.00796879980003969
"101",2021,"PU","Bare ground",0.00722599733333333,0.0108174765696796
"102",2021,"PU","Deciduous shrubs",0.235134416583333,0.0228181053653884
"103",2021,"PU","Evergreen shrubs",0.107194771041667,0.0808842636862994
"104",2021,"PU","Forb",0.0534040370416667,0.0249030215854589
"105",2021,"PU","Grass",0.0665142154166667,0.0678020549564606
"106",2021,"PU","Lichen",0.0171026342916667,0.0113748129927521
"107",2021,"PU","Litter",0.139309543916667,0.0289946682978512
"108",2021,"PU","Moss",0.158822351458333,0.078224858547757
"109",2021,"PU","Sedge",0.176789884541667,0.0528108727857595
"110",2021,"PU","Standing dead",0.0305866889166667,0.0158180995282656
