"","year","region","site","treatment","quad","species","cover","func.group"
"84",2018,"TL","IM","CT",4,"Sal ret",0,"Deciduous shrubs"
"85",2018,"TL","IM","CT",4,"Sax pun",0,"Forb"
"86",2018,"TL","IM","CT",4,"std",0,"Standing dead"
"87",2018,"TL","IM","CT",4,"Vac uli",0.086538462,"Deciduous shrubs"
"88",2018,"TL","IM","CT",4,"Vac vit",0.057692308,"Evergreen shrubs"
"89",2018,"TL","IM","CT",5,"And pol",0,"Evergreen shrubs"
"90",2018,"TL","IM","CT",5,"bare",0.008810573,"Bare ground"
"91",2018,"TL","IM","CT",5,"Bet nan",0.088105727,"Deciduous shrubs"
"92",2018,"TL","IM","CT",5,"Car big",0.035242291,"Grass"
"93",2018,"TL","IM","CT",5,"Cas tet",0.035242291,"Evergreen shrubs"
"94",2018,"TL","IM","CT",5,"Emp nig",0,"Evergreen shrubs"
"95",2018,"TL","IM","CT",5,"Eri vag",0.105726872,"Sedge"
"96",2018,"TL","IM","CT",5,"frost boil",0,"Bare ground"
"97",2018,"TL","IM","CT",5,"Led pal",0.070484581,"Evergreen shrubs"
"98",2018,"TL","IM","CT",5,"lichen",0.008810573,"Lichen"
"99",2018,"TL","IM","CT",5,"litter",0.193832599,"Litter"
"100",2018,"TL","IM","CT",5,"moss",0.123348018,"Moss"
"101",2018,"TL","IM","CT",5,"Ped lap",0,"Forb"
"102",2018,"TL","IM","CT",5,"Pol bis",0,"Forb"
"103",2018,"TL","IM","CT",5,"Pyr gra",0,"Forb"
"104",2018,"TL","IM","CT",5,"Rub cha",0.13215859,"Forb"
"105",2018,"TL","IM","CT",5,"Sal pul",0.052863436,"Deciduous shrubs"
"106",2018,"TL","IM","CT",5,"Sal ret",0.004405286,"Deciduous shrubs"
"107",2018,"TL","IM","CT",5,"Sax pun",0,"Forb"
"108",2018,"TL","IM","CT",5,"std",0,"Standing dead"
"109",2018,"TL","IM","CT",5,"Vac uli",0,"Deciduous shrubs"
"110",2018,"TL","IM","CT",5,"Vac vit",0.140969163,"Evergreen shrubs"
"111",2018,"TL","IM","CT",6,"And pol",0,"Evergreen shrubs"
"112",2018,"TL","IM","CT",6,"bare",0.025,"Bare ground"
"113",2018,"TL","IM","CT",6,"Bet nan",0.075,"Deciduous shrubs"
"114",2018,"TL","IM","CT",6,"Car big",0.058333333,"Grass"
"115",2018,"TL","IM","CT",6,"Cas tet",0.041666667,"Evergreen shrubs"
"116",2018,"TL","IM","CT",6,"Emp nig",0,"Evergreen shrubs"
"117",2018,"TL","IM","CT",6,"Eri vag",0.133333333,"Sedge"
"118",2018,"TL","IM","CT",6,"frost boil",0,"Bare ground"
"119",2018,"TL","IM","CT",6,"Led pal",0.066666667,"Evergreen shrubs"
"120",2018,"TL","IM","CT",6,"lichen",0.025,"Lichen"
"121",2018,"TL","IM","CT",6,"litter",0.15,"Litter"
"122",2018,"TL","IM","CT",6,"moss",0.183333333,"Moss"
"123",2018,"TL","IM","CT",6,"Ped lap",0,"Forb"
"124",2018,"TL","IM","CT",6,"Pol bis",0,"Forb"
"125",2018,"TL","IM","CT",6,"Pyr gra",0,"Forb"
"126",2018,"TL","IM","CT",6,"Rub cha",0.116666667,"Forb"
"127",2018,"TL","IM","CT",6,"Sal pul",0.016666667,"Deciduous shrubs"
"128",2018,"TL","IM","CT",6,"Sal ret",0.033333333,"Deciduous shrubs"
"129",2018,"TL","IM","CT",6,"Sax pun",0,"Forb"
"130",2018,"TL","IM","CT",6,"std",0,"Standing dead"
"131",2018,"TL","IM","CT",6,"Vac uli",0,"Deciduous shrubs"
"132",2018,"TL","IM","CT",6,"Vac vit",0.075,"Evergreen shrubs"
"133",2018,"TL","IM","CT",7,"And pol",0.009302326,"Evergreen shrubs"
"134",2018,"TL","IM","CT",7,"bare",0.037209302,"Bare ground"
"135",2018,"TL","IM","CT",7,"Bet nan",0.065116279,"Deciduous shrubs"
"136",2018,"TL","IM","CT",7,"Car big",0.046511628,"Grass"
"137",2018,"TL","IM","CT",7,"Cas tet",0.055813953,"Evergreen shrubs"
"138",2018,"TL","IM","CT",7,"Emp nig",0,"Evergreen shrubs"
"139",2018,"TL","IM","CT",7,"Eri vag",0.046511628,"Sedge"
"140",2018,"TL","IM","CT",7,"frost boil",0,"Bare ground"
"141",2018,"TL","IM","CT",7,"Led pal",0.018604651,"Evergreen shrubs"
"142",2018,"TL","IM","CT",7,"lichen",0,"Lichen"
"143",2018,"TL","IM","CT",7,"litter",0.102325581,"Litter"
"144",2018,"TL","IM","CT",7,"moss",0.120930233,"Moss"
"145",2018,"TL","IM","CT",7,"Ped lap",0.027906977,"Forb"
"146",2018,"TL","IM","CT",7,"Pol bis",0,"Forb"
"147",2018,"TL","IM","CT",7,"Pyr gra",0,"Forb"
"148",2018,"TL","IM","CT",7,"Rub cha",0.269767442,"Forb"
"149",2018,"TL","IM","CT",7,"Sal pul",0.046511628,"Deciduous shrubs"
"150",2018,"TL","IM","CT",7,"Sal ret",0.037209302,"Deciduous shrubs"
"151",2018,"TL","IM","CT",7,"Sax pun",0,"Forb"
"152",2018,"TL","IM","CT",7,"std",0.009302326,"Standing dead"
"153",2018,"TL","IM","CT",7,"Vac uli",0.004651163,"Deciduous shrubs"
"154",2018,"TL","IM","CT",7,"Vac vit",0.102325581,"Evergreen shrubs"
"155",2018,"TL","IM","CT",8,"And pol",0.023121387,"Evergreen shrubs"
"156",2018,"TL","IM","CT",8,"bare",0.023121387,"Bare ground"
"157",2018,"TL","IM","CT",8,"Bet nan",0.069364162,"Deciduous shrubs"
"158",2018,"TL","IM","CT",8,"Car big",0.011560694,"Grass"
"159",2018,"TL","IM","CT",8,"Cas tet",0.046242775,"Evergreen shrubs"
"160",2018,"TL","IM","CT",8,"Emp nig",0,"Evergreen shrubs"
"161",2018,"TL","IM","CT",8,"Eri vag",0.161849711,"Sedge"
"162",2018,"TL","IM","CT",8,"frost boil",0,"Bare ground"
"163",2018,"TL","IM","CT",8,"Led pal",0.023121387,"Evergreen shrubs"
"164",2018,"TL","IM","CT",8,"lichen",0.023121387,"Lichen"
"165",2018,"TL","IM","CT",8,"litter",0.138728324,"Litter"
"166",2018,"TL","IM","CT",8,"moss",0.161849711,"Moss"
"167",2018,"TL","IM","CT",8,"Ped lap",0.011560694,"Forb"
"168",2018,"TL","IM","CT",8,"Pol bis",0,"Forb"
"169",2018,"TL","IM","CT",8,"Pyr gra",0.005780347,"Forb"
"170",2018,"TL","IM","CT",8,"Rub cha",0.12716763,"Forb"
"171",2018,"TL","IM","CT",8,"Sal pul",0.023121387,"Deciduous shrubs"
"172",2018,"TL","IM","CT",8,"Sal ret",0.046242775,"Deciduous shrubs"
"173",2018,"TL","IM","CT",8,"Sax pun",0.005780347,"Forb"
"174",2018,"TL","IM","CT",8,"std",0,"Standing dead"
"175",2018,"TL","IM","CT",8,"Vac uli",0.005780347,"Deciduous shrubs"
"176",2018,"TL","IM","CT",8,"Vac vit",0.092485549,"Evergreen shrubs"
"177",2018,"TL","IM","EX",1,"And pol",0.017021277,"Evergreen shrubs"
"178",2018,"TL","IM","EX",1,"bare",0.034042553,"Bare ground"
"179",2018,"TL","IM","EX",1,"Bet nan",0.068085106,"Deciduous shrubs"
"180",2018,"TL","IM","EX",1,"Car big",0.136170213,"Grass"
"181",2018,"TL","IM","EX",1,"Cas tet",0.025531915,"Evergreen shrubs"
"182",2018,"TL","IM","EX",1,"Emp nig",0,"Evergreen shrubs"
"183",2018,"TL","IM","EX",1,"Eri vag",0.042553191,"Sedge"
"184",2018,"TL","IM","EX",1,"frost boil",0,"Bare ground"
"185",2018,"TL","IM","EX",1,"Led pal",0,"Evergreen shrubs"
"186",2018,"TL","IM","EX",1,"lichen",0.004255319,"Lichen"
"187",2018,"TL","IM","EX",1,"litter",0.221276596,"Litter"
"188",2018,"TL","IM","EX",1,"moss",0.136170213,"Moss"
"189",2018,"TL","IM","EX",1,"Ped lap",0,"Forb"
"190",2018,"TL","IM","EX",1,"Pol bis",0,"Forb"
"191",2018,"TL","IM","EX",1,"Pyr gra",0.017021277,"Forb"
"192",2018,"TL","IM","EX",1,"Rub cha",0.085106383,"Forb"
"193",2018,"TL","IM","EX",1,"Sal pul",0.059574468,"Deciduous shrubs"
"194",2018,"TL","IM","EX",1,"Sal ret",0,"Deciduous shrubs"
"195",2018,"TL","IM","EX",1,"Sax pun",0.017021277,"Forb"
"196",2018,"TL","IM","EX",1,"std",0,"Standing dead"
"197",2018,"TL","IM","EX",1,"Vac uli",0.10212766,"Deciduous shrubs"
"198",2018,"TL","IM","EX",1,"Vac vit",0.034042553,"Evergreen shrubs"
"199",2018,"TL","IM","EX",2,"And pol",0,"Evergreen shrubs"
"200",2018,"TL","IM","EX",2,"bare",0.071428571,"Bare ground"
"201",2018,"TL","IM","EX",2,"Bet nan",0.0625,"Deciduous shrubs"
"202",2018,"TL","IM","EX",2,"Car big",0.107142857,"Grass"
"203",2018,"TL","IM","EX",2,"Cas tet",0.026785714,"Evergreen shrubs"
"204",2018,"TL","IM","EX",2,"Emp nig",0,"Evergreen shrubs"
"205",2018,"TL","IM","EX",2,"Eri vag",0.071428571,"Sedge"
"206",2018,"TL","IM","EX",2,"frost boil",0,"Bare ground"
"207",2018,"TL","IM","EX",2,"Led pal",0.026785714,"Evergreen shrubs"
"208",2018,"TL","IM","EX",2,"lichen",0,"Lichen"
"209",2018,"TL","IM","EX",2,"litter",0.223214286,"Litter"
"210",2018,"TL","IM","EX",2,"moss",0.089285714,"Moss"
"211",2018,"TL","IM","EX",2,"Ped lap",0,"Forb"
"212",2018,"TL","IM","EX",2,"Pol bis",0,"Forb"
"213",2018,"TL","IM","EX",2,"Pyr gra",0.008928571,"Forb"
"214",2018,"TL","IM","EX",2,"Rub cha",0.133928571,"Forb"
"215",2018,"TL","IM","EX",2,"Sal pul",0.071428571,"Deciduous shrubs"
"216",2018,"TL","IM","EX",2,"Sal ret",0,"Deciduous shrubs"
"217",2018,"TL","IM","EX",2,"Sax pun",0,"Forb"
"218",2018,"TL","IM","EX",2,"std",0,"Standing dead"
"219",2018,"TL","IM","EX",2,"Vac uli",0.080357143,"Deciduous shrubs"
"220",2018,"TL","IM","EX",2,"Vac vit",0.026785714,"Evergreen shrubs"
"221",2018,"TL","IM","EX",3,"And pol",0,"Evergreen shrubs"
"222",2018,"TL","IM","EX",3,"bare",0.009009009,"Bare ground"
"223",2018,"TL","IM","EX",3,"Bet nan",0.063063063,"Deciduous shrubs"
"224",2018,"TL","IM","EX",3,"Car big",0.09009009,"Grass"
"225",2018,"TL","IM","EX",3,"Cas tet",0.027027027,"Evergreen shrubs"
"226",2018,"TL","IM","EX",3,"Emp nig",0,"Evergreen shrubs"
"227",2018,"TL","IM","EX",3,"Eri vag",0.27027027,"Sedge"
"228",2018,"TL","IM","EX",3,"frost boil",0,"Bare ground"
"229",2018,"TL","IM","EX",3,"Led pal",0.027027027,"Evergreen shrubs"
"230",2018,"TL","IM","EX",3,"lichen",0,"Lichen"
"231",2018,"TL","IM","EX",3,"litter",0.099099099,"Litter"
"232",2018,"TL","IM","EX",3,"moss",0.036036036,"Moss"
"233",2018,"TL","IM","EX",3,"Ped lap",0,"Forb"
"234",2018,"TL","IM","EX",3,"Pol bis",0,"Forb"
"235",2018,"TL","IM","EX",3,"Pyr gra",0,"Forb"
"236",2018,"TL","IM","EX",3,"Rub cha",0.108108108,"Forb"
"237",2018,"TL","IM","EX",3,"Sal pul",0.117117117,"Deciduous shrubs"
"238",2018,"TL","IM","EX",3,"Sal ret",0,"Deciduous shrubs"
"239",2018,"TL","IM","EX",3,"Sax pun",0,"Forb"
"240",2018,"TL","IM","EX",3,"std",0,"Standing dead"
"241",2018,"TL","IM","EX",3,"Vac uli",0.072072072,"Deciduous shrubs"
"242",2018,"TL","IM","EX",3,"Vac vit",0.081081081,"Evergreen shrubs"
"243",2018,"TL","IM","EX",4,"And pol",0,"Evergreen shrubs"
"244",2018,"TL","IM","EX",4,"bare",0.06185567,"Bare ground"
"245",2018,"TL","IM","EX",4,"Bet nan",0.051546392,"Deciduous shrubs"
"246",2018,"TL","IM","EX",4,"Car big",0.092783505,"Grass"
"247",2018,"TL","IM","EX",4,"Cas tet",0.030927835,"Evergreen shrubs"
"248",2018,"TL","IM","EX",4,"Emp nig",0,"Evergreen shrubs"
"249",2018,"TL","IM","EX",4,"Eri vag",0.175257732,"Sedge"
"250",2018,"TL","IM","EX",4,"frost boil",0,"Bare ground"
"251",2018,"TL","IM","EX",4,"Led pal",0.030927835,"Evergreen shrubs"
"252",2018,"TL","IM","EX",4,"lichen",0,"Lichen"
"253",2018,"TL","IM","EX",4,"litter",0.216494845,"Litter"
"254",2018,"TL","IM","EX",4,"moss",0.072164948,"Moss"
"255",2018,"TL","IM","EX",4,"Ped lap",0,"Forb"
"256",2018,"TL","IM","EX",4,"Pol bis",0,"Forb"
"257",2018,"TL","IM","EX",4,"Pyr gra",0,"Forb"
"258",2018,"TL","IM","EX",4,"Rub cha",0.103092784,"Forb"
"259",2018,"TL","IM","EX",4,"Sal pul",0.072164948,"Deciduous shrubs"
"260",2018,"TL","IM","EX",4,"Sal ret",0,"Deciduous shrubs"
"261",2018,"TL","IM","EX",4,"Sax pun",0,"Forb"
"262",2018,"TL","IM","EX",4,"std",0,"Standing dead"
"263",2018,"TL","IM","EX",4,"Vac uli",0.072164948,"Deciduous shrubs"
"264",2018,"TL","IM","EX",4,"Vac vit",0.020618557,"Evergreen shrubs"
"265",2018,"TL","IM","EX",5,"And pol",0.011111111,"Evergreen shrubs"
"266",2018,"TL","IM","EX",5,"bare",0,"Bare ground"
"267",2018,"TL","IM","EX",5,"Bet nan",0.055555556,"Deciduous shrubs"
"268",2018,"TL","IM","EX",5,"Car big",0.111111111,"Grass"
"269",2018,"TL","IM","EX",5,"Cas tet",0.088888889,"Evergreen shrubs"
"270",2018,"TL","IM","EX",5,"Emp nig",0,"Evergreen shrubs"
"271",2018,"TL","IM","EX",5,"Eri vag",0.077777778,"Sedge"
"272",2018,"TL","IM","EX",5,"frost boil",0,"Bare ground"
"273",2018,"TL","IM","EX",5,"Led pal",0.005555556,"Evergreen shrubs"
"274",2018,"TL","IM","EX",5,"lichen",0.011111111,"Lichen"
"275",2018,"TL","IM","EX",5,"litter",0.133333333,"Litter"
"276",2018,"TL","IM","EX",5,"moss",0.111111111,"Moss"
"277",2018,"TL","IM","EX",5,"Ped lap",0,"Forb"
"278",2018,"TL","IM","EX",5,"Pol bis",0,"Forb"
"279",2018,"TL","IM","EX",5,"Pyr gra",0.005555556,"Forb"
"280",2018,"TL","IM","EX",5,"Rub cha",0.177777778,"Forb"
"281",2018,"TL","IM","EX",5,"Sal pul",0.077777778,"Deciduous shrubs"
"282",2018,"TL","IM","EX",5,"Sal ret",0,"Deciduous shrubs"
"283",2018,"TL","IM","EX",5,"Sax pun",0,"Forb"
"284",2018,"TL","IM","EX",5,"std",0,"Standing dead"
"285",2018,"TL","IM","EX",5,"Vac uli",0.088888889,"Deciduous shrubs"
"286",2018,"TL","IM","EX",5,"Vac vit",0.044444444,"Evergreen shrubs"
"287",2018,"TL","IM","EX",6,"And pol",0.00617284,"Evergreen shrubs"
"288",2018,"TL","IM","EX",6,"bare",0,"Bare ground"
"289",2018,"TL","IM","EX",6,"Bet nan",0.086419753,"Deciduous shrubs"
"290",2018,"TL","IM","EX",6,"Car big",0.074074074,"Grass"
"291",2018,"TL","IM","EX",6,"Cas tet",0.012345679,"Evergreen shrubs"
"292",2018,"TL","IM","EX",6,"Emp nig",0,"Evergreen shrubs"
"293",2018,"TL","IM","EX",6,"Eri vag",0.135802469,"Sedge"
"294",2018,"TL","IM","EX",6,"frost boil",0,"Bare ground"
"295",2018,"TL","IM","EX",6,"Led pal",0,"Evergreen shrubs"
"296",2018,"TL","IM","EX",6,"lichen",0,"Lichen"
"297",2018,"TL","IM","EX",6,"litter",0.148148148,"Litter"
"298",2018,"TL","IM","EX",6,"moss",0.086419753,"Moss"
"299",2018,"TL","IM","EX",6,"Ped lap",0,"Forb"
"300",2018,"TL","IM","EX",6,"Pol bis",0,"Forb"
"301",2018,"TL","IM","EX",6,"Pyr gra",0.00617284,"Forb"
"302",2018,"TL","IM","EX",6,"Rub cha",0.185185185,"Forb"
"303",2018,"TL","IM","EX",6,"Sal pul",0.185185185,"Deciduous shrubs"
"304",2018,"TL","IM","EX",6,"Sal ret",0,"Deciduous shrubs"
"305",2018,"TL","IM","EX",6,"Sax pun",0.00617284,"Forb"
"306",2018,"TL","IM","EX",6,"std",0,"Standing dead"
"307",2018,"TL","IM","EX",6,"Vac uli",0.061728395,"Deciduous shrubs"
"308",2018,"TL","IM","EX",6,"Vac vit",0.00617284,"Evergreen shrubs"
"309",2018,"TL","IM","EX",7,"And pol",0,"Evergreen shrubs"
"310",2018,"TL","IM","EX",7,"bare",0.021164021,"Bare ground"
"311",2018,"TL","IM","EX",7,"Bet nan",0.042328042,"Deciduous shrubs"
"312",2018,"TL","IM","EX",7,"Car big",0.021164021,"Grass"
"313",2018,"TL","IM","EX",7,"Cas tet",0.010582011,"Evergreen shrubs"
"314",2018,"TL","IM","EX",7,"Emp nig",0,"Evergreen shrubs"
"315",2018,"TL","IM","EX",7,"Eri vag",0.116402116,"Sedge"
"316",2018,"TL","IM","EX",7,"frost boil",0,"Bare ground"
"317",2018,"TL","IM","EX",7,"Led pal",0.021164021,"Evergreen shrubs"
"318",2018,"TL","IM","EX",7,"lichen",0,"Lichen"
"319",2018,"TL","IM","EX",7,"litter",0.211640212,"Litter"
"320",2018,"TL","IM","EX",7,"moss",0.063492063,"Moss"
"321",2018,"TL","IM","EX",7,"Ped lap",0,"Forb"
"322",2018,"TL","IM","EX",7,"Pol bis",0,"Forb"
"323",2018,"TL","IM","EX",7,"Pyr gra",0.005291005,"Forb"
"324",2018,"TL","IM","EX",7,"Rub cha",0.137566138,"Forb"
"325",2018,"TL","IM","EX",7,"Sal pul",0.169312169,"Deciduous shrubs"
"326",2018,"TL","IM","EX",7,"Sal ret",0.021164021,"Deciduous shrubs"
"327",2018,"TL","IM","EX",7,"Sax pun",0.021164021,"Forb"
"328",2018,"TL","IM","EX",7,"std",0,"Standing dead"
"329",2018,"TL","IM","EX",7,"Vac uli",0.126984127,"Deciduous shrubs"
"330",2018,"TL","IM","EX",7,"Vac vit",0.010582011,"Evergreen shrubs"
"331",2018,"TL","IM","EX",8,"And pol",0,"Evergreen shrubs"
"332",2018,"TL","IM","EX",8,"bare",0.013333333,"Bare ground"
"333",2018,"TL","IM","EX",8,"Bet nan",0.08,"Deciduous shrubs"
"334",2018,"TL","IM","EX",8,"Car big",0,"Grass"
"335",2018,"TL","IM","EX",8,"Cas tet",0,"Evergreen shrubs"
"336",2018,"TL","IM","EX",8,"Emp nig",0,"Evergreen shrubs"
"337",2018,"TL","IM","EX",8,"Eri vag",0.373333333,"Sedge"
"338",2018,"TL","IM","EX",8,"frost boil",0,"Bare ground"
"339",2018,"TL","IM","EX",8,"Led pal",0.006666667,"Evergreen shrubs"
"340",2018,"TL","IM","EX",8,"lichen",0.006666667,"Lichen"
"341",2018,"TL","IM","EX",8,"litter",0.226666667,"Litter"
"342",2018,"TL","IM","EX",8,"moss",0.12,"Moss"
"343",2018,"TL","IM","EX",8,"Ped lap",0,"Forb"
"344",2018,"TL","IM","EX",8,"Pol bis",0,"Forb"
"345",2018,"TL","IM","EX",8,"Pyr gra",0,"Forb"
"346",2018,"TL","IM","EX",8,"Rub cha",0.08,"Forb"
"347",2018,"TL","IM","EX",8,"Sal pul",0.013333333,"Deciduous shrubs"
"348",2018,"TL","IM","EX",8,"Sal ret",0,"Deciduous shrubs"
"349",2018,"TL","IM","EX",8,"Sax pun",0,"Forb"
"350",2018,"TL","IM","EX",8,"std",0,"Standing dead"
"351",2018,"TL","IM","EX",8,"Vac uli",0.053333333,"Deciduous shrubs"
"352",2018,"TL","IM","EX",8,"Vac vit",0.026666667,"Evergreen shrubs"
"353",2018,"TL","IM","PR",1,"And pol",0.018604651,"Evergreen shrubs"
"354",2018,"TL","IM","PR",1,"bare",0,"Bare ground"
"355",2018,"TL","IM","PR",1,"Bet nan",0.093023256,"Deciduous shrubs"
"356",2018,"TL","IM","PR",1,"Car big",0.004651163,"Grass"
"357",2018,"TL","IM","PR",1,"Cas tet",0.009302326,"Evergreen shrubs"
"358",2018,"TL","IM","PR",1,"Emp nig",0,"Evergreen shrubs"
"359",2018,"TL","IM","PR",1,"Eri vag",0.139534884,"Sedge"
"360",2018,"TL","IM","PR",1,"frost boil",0,"Bare ground"
"361",2018,"TL","IM","PR",1,"Led pal",0.018604651,"Evergreen shrubs"
"362",2018,"TL","IM","PR",1,"lichen",0.004651163,"Lichen"
"363",2018,"TL","IM","PR",1,"litter",0.102325581,"Litter"
"364",2018,"TL","IM","PR",1,"moss",0.306976744,"Moss"
"365",2018,"TL","IM","PR",1,"Ped lap",0,"Forb"
"366",2018,"TL","IM","PR",1,"Pet fri",0,"Forb"
"367",2018,"TL","IM","PR",1,"Pol bis",0.004651163,"Forb"
"368",2018,"TL","IM","PR",1,"Pyr gra",0.004651163,"Forb"
"369",2018,"TL","IM","PR",1,"Rub cha",0.111627907,"Forb"
"370",2018,"TL","IM","PR",1,"Sal pul",0.046511628,"Deciduous shrubs"
"371",2018,"TL","IM","PR",1,"Sax pun",0.004651163,"Forb"
"372",2018,"TL","IM","PR",1,"std",0.055813953,"Standing dead"
"373",2018,"TL","IM","PR",1,"Vac uli",0,"Deciduous shrubs"
